path,suffix,rows,columns,field_count,verdict,ohlcv_fields_present,required_group_matches,note
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T105601_h4.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T105601_htf.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T105601_ltf.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T105601_m1.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T105601_m5.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T105601_mtf.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T105601_spot.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T110505_h4.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T110505_htf.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T110505_ltf.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T110505_m1.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T110505_m5.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T110505_mtf.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_live_20260510T110505_spot.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/analyze_runs.json,.json,2,,379,ohlcv_or_derived_only,high;low;timestamp,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/artifact_ledger.json,.json,10,,37,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/ensemble_executor_scorecards.json,.json,2,,10,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/ensemble_vote.json,.json,,,57,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/ensemble_vote_history.json,.json,2,,57,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/execution_candidate.json,.json,,,141,ohlcv_or_derived_only,high;low,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/execution_candidate_history.json,.json,2,,141,ohlcv_or_derived_only,high;low,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/execution_tree_trace.json,.json,,,27,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/learning_state.json,.json,,,199,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/mece_recovery_artifact.json,.json,,,21,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/pending_update_feedback.json,.json,,,169,partial_microstructure_like_fields_not_sufficient,high;low;timestamp,"{""tick_or_trade"": [""trade_id""]}",
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/pending_update_history.json,.json,2,,169,partial_microstructure_like_fields_not_sufficient,high;low;timestamp,"{""tick_or_trade"": [""trade_id""]}",
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/policy_training/structural_path_ranking_runtime_selection.json,.json,,,5,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/policy_training/structural_path_ranking_target.csv,.csv,3,37,37,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/policy_training/structural_path_ranking_target_history.csv,.csv,3,37,37,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/policy_training/structural_path_ranking_target_summary.json,.json,,,38,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/policy_training/structural_path_ranking_trainer_artifact.json,.json,,,19,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/pre_bayes_policy_history.json,.json,2,,31,ohlcv_or_derived_only,timestamp,{},
docs/experiments/actionable-regime-confidence/runs/20260510T185358-codex-accepted95-full-chain/state/NQ/workflow_snapshot.json,.json,,,354,ohlcv_or_derived_only,high;low;timestamp,{},
docs/experiments/actionable-regime-confidence/runs/20260510T202359-hermes-cross-market-regime-validation/cross-market/cross_market_regime_condition_matrix.json,.json,,,121,no_relevant_fields,,{},
