rank,feature,op,threshold,min_support,min_wilson95_lcb,train_support,train_precision,train_lcb,calibration_support,calibration_precision,calibration_lcb,test_support,test_precision,test_lcb
1,sellerFee_amount,>=,1.76300712182e+20,217,0.8781338511426455,12035,0.9989198171998338,0.9981526319686317,217,0.9216589861751152,0.8781338511426455,2349,0.9953171562366965,0.9916337713491278
2,buyer_7d_trade_count,>=,5362.0,1507,0.7003296130473672,4885,0.7357215967246673,0.723174583226834,1792,0.7215401785714286,0.7003296130473672,1507,0.7544790975447909,0.7321200806526125
3,buyer_7d_trade_count,>=,3937.0,4212,0.6964660043400165,12208,0.710927260812582,0.7028203098692216,4212,0.7103513770180437,0.6964660043400165,4255,0.7311398354876616,0.7176139608061955
4,buyer_7d_trade_count,>=,5778.0,910,0.6950787887174084,2425,0.7134020618556701,0.6950787887174084,1137,0.7361477572559367,0.7097662573026156,910,0.7681318681318682,0.7396193291612132
5,buyer_24h_trade_count,>=,987.0,796,0.6811943062881067,2860,0.7132867132867133,0.6964355062937413,796,0.7135678391959799,0.6811943062881067,866,0.7251732101616628,0.694494792876163
6,buyer_24h_trade_count,>=,659.0,3995,0.6786351113675185,12303,0.6986913760871332,0.6905228083132698,3995,0.693116395494368,0.6786351113675185,4485,0.7295429208472687,0.7163506181371767
7,buyer_7d_trade_count,>=,3122.0,7905,0.674936957247865,24411,0.7006267666216051,0.6948503650424035,7905,0.6852624920936117,0.674936957247865,8201,0.6918668455066456,0.6817859670639924
8,buyer_24h_trade_count,>=,893.0,1142,0.6715349057349588,4866,0.7065351418002466,0.6935822124020031,1328,0.7251506024096386,0.7005160384419833,1142,0.6987740805604203,0.6715349057349588
9,buyer_24h_trade_count,>=,436.0,8320,0.6701862006520478,24161,0.6977360208600637,0.6919142840467167,8320,0.6802884615384616,0.6701862006520478,8442,0.6963989575929874,0.6865028734552628
10,buyer_24h_trade_count,>=,500.0,7121,0.6698810187993204,21238,0.6987475280158207,0.6925415904667823,7121,0.6808032579693863,0.6698810187993204,7192,0.7116240266963293,0.7010436858707241
11,buyer_24h_trade_count,>=,200.0,16882,0.6194770623389246,46202,0.6568979697848578,0.6525561783983517,16897,0.6267976563887081,0.6194770623389246,16882,0.6390238123445089,0.6317480143217324
12,buyer_7d_trade_count,>=,1000.0,18046,0.6107516273874075,48034,0.6436274305700129,0.6393331497683457,18046,0.617865454948465,0.6107516273874075,18108,0.627678374199249,0.6206108879053619
13,buyer_24h_trade_count,>=,173.0,17850,0.6076420938841736,48306,0.6480147393698505,0.6437441757557653,17915,0.6147920736812726,0.6076420938841736,17850,0.6264425770308123,0.6193195159237104
14,buyer_7d_trade_count,>=,989.0,18164,0.6070792957236895,48164,0.6419317332447471,0.6376388902370654,18164,0.6141818982602951,0.6070792957236895,18178,0.6261965012652657,0.6191373459587955
15,buyer_24h_trade_count,>=,1000.0,381,0.5996937811135024,1673,0.702928870292887,0.6805870674638959,381,0.6561679790026247,0.607127884801078,485,0.643298969072165,0.5996937811135024
16,buyer_nft_all_trade_count,>=,183.0,1632,0.5938197643820678,24091,0.731974596322278,0.7263447835275387,1632,0.6176470588235294,0.5938197643820678,2343,0.7200170721297482,0.7014880306260636
17,buyer_nft_all_trade_count,>=,200.0,1315,0.59091665964218,22949,0.7317965924441152,0.7260263134028591,1315,0.617490494296578,0.59091665964218,2063,0.7178865729520116,0.6980759250404083
18,buyer_7d_nfttrade_count,>=,37.0,10167,0.5887779236313054,48330,0.6916408028139872,0.6875084456178115,10190,0.5983316977428852,0.5887779236313054,10167,0.6276187665978165,0.6181751238087947
19,buyer_7d_nfttrade_count,>=,50.0,7508,0.5887157491273961,40723,0.6944969673157675,0.6900050510433519,7793,0.5996407031951752,0.5887157491273961,7508,0.6311933937133724,0.6202153255360436
20,buyer_7d_nfttrade_count,>=,100.0,3873,0.5870545920492658,23685,0.6915769474350855,0.6856645458134547,3934,0.6024402643619725,0.5870545920492658,3873,0.6418796798347535,0.6266463162292455
