rank,candidate_id,feature,op,threshold,train_wilson95_lcb,calibration_wilson95_lcb,test_wilson95_lcb,train_support,calibration_support,test_support
1,32,pre_6h_return,>=,2.688568469663907,0.010715887143317592,0.023195955302121693,0.051904515340850076,993,1271,803
2,33,pre_60h_return,>=,0.6264808421349682,0.010705079667444795,0.02126862413179482,0.020815463198657735,994,1546,1173
3,121,pre_48h_return,>=,2.1603747255953607,0.00917535082929,0.019217839155708624,0.01867082788321803,993,1666,1218
4,43,pre_3d_volume_btc,<=,-0.1534625116050876,0.010489378683791477,0.01556981689337004,0.017051720206262548,9925,3000,5788
5,120,pre_3h_return,>=,2.8047335576728156,0.00917535082929,0.015358343406575572,0.051555250389138746,993,949,674
6,11,pre_3d_alexa_index,>=,0.3410198133590186,0.012890585417735766,0.016562171313310222,0.013657487838452512,19848,3459,4714
7,56,pre_3d_volume_usd,<=,-0.15047104191348776,0.010052904093359507,0.013368282519677735,0.01792647716719602,29769,3297,5506
8,0,pre_6h_return,>=,1.2346093468405122,0.018793208802347028,0.013259890296819034,0.021001751694286672,4962,4252,3068
9,4,pre_1h_return,>=,3.033208707472958,0.01548299525254923,0.012537356966045816,0.03597232561524856,993,608,565
10,39,pre_3d_volume_btc,<=,-0.15297951998213186,0.010569576523039552,0.014338467108925276,0.012074444131616317,19846,5995,10293
11,12,pre_1h_return,>=,1.2346098806733892,0.012788844734155572,0.011641213869666163,0.017511613097063842,4964,2674,2270
12,31,pre_3d_volume_usd,<=,-0.1508245561605044,0.010756972640171317,0.011608726760489053,0.012444874646208593,19849,1814,3192
13,124,pre_3d_volume_usd,<=,-0.149894876957861,0.009165062396987715,0.011596764315384476,0.015592466105767007,39693,5320,7855
14,46,pre_3d_volume_btc,<=,-0.15361397988360714,0.010291461043974324,0.011369671143718287,0.012140003812511603,4962,1564,3630
15,3,pre_12h_return,>=,0.9921440569355156,0.015499931678341404,0.01103686369486882,0.016228575872973935,4964,4468,3694
16,15,pre_24h_return,>=,1.0148581097300229,0.012255137749997622,0.010982472730144787,0.013201140242654162,4962,5213,4070
17,1,pre_3h_return,>=,1.2326823370051114,0.016233875074181645,0.010962386493084782,0.019849083264399534,4962,3702,2709
18,72,pre_72h_return,>=,0.2190363445445455,0.009757679377372949,0.010370194655034828,0.011871780869056289,4963,5777,5422
19,5,pre_60h_return,>=,0.27536100980717043,0.013694918047848184,0.010310987158679086,0.011456068991250274,4962,5038,4689
20,42,pre_3d_alexa_index,>=,0.0823163413143596,0.01051738010768722,0.014019285622453036,0.010127711669055718,29806,5295,7238
21,8,pre_36h_return,>=,1.0472217024898212,0.013151310262587703,0.010041121903281228,0.017579471933451458,4963,5261,3969
22,119,pre_3d_alexa_index,>=,1.350047176993938,0.009192553702354651,0.016849639980991895,0.009815624269612357,4982,1300,1894
23,13,pre_48h_return,>=,0.966528326426197,0.012424585111911149,0.009778447429777718,0.014481121810669541,4966,5222,4693
24,114,pre_3d_volume_btc,<=,-0.1520861919598243,0.009226319214272928,0.010712386702940327,0.009148954612734406,29770,9378,17521
25,7,pre_6h_return,>=,0.7534367466257155,0.013640383910691613,0.008949680756697389,0.016233575068115375,9923,7190,5855
