selected_channels=80 selected_positive_label_rows=53482 selected_mib=250.00
fetching_lfs_files=80
fetched_channel=1137853181 size=14361585
fetched_channel=1286919325 size=1094522
fetched_channel=1148414624 size=10657707
fetched_channel=1168808502 size=4755609
fetched_channel=1128135714 size=7400494
fetched_channel=1241159528 size=1368886
fetched_channel=1353862358 size=5239521
fetched_channel=1372313465 size=7883756
fetched_channel=1101026633 size=5681220
fetched_channel=1268278510 size=7565625
fetched_channel=1147798110 size=9303896
fetched_channel=1141241803 size=3490136
fetched_channel=1115904838 size=4313823
fetched_channel=1136817405 size=2400182
fetched_channel=1149375708 size=3346120
fetched_channel=1137683620 size=7133922
fetched_channel=1144675996 size=4652590
fetched_channel=1090996030 size=2558213
fetched_channel=1095533634 size=2765520
fetched_channel=1196167823 size=7318411
fetched_channel=1142644156 size=3398432
fetched_channel=1121453288 size=3907328
fetched_channel=1129810706 size=2994098
fetched_channel=1113995061 size=1991087
fetched_channel=1228399647 size=17290385
fetched_channel=1147530638 size=1413126
fetched_channel=1126647644 size=3262376
fetched_channel=1351738786 size=1985641
fetched_channel=1203300637 size=2922342
fetched_channel=1129226192 size=4185725
fetched_channel=1192783688 size=1136763
fetched_channel=1179433767 size=1414534
fetched_channel=1228043983 size=1138691
fetched_channel=1170225132 size=3267025
fetched_channel=1136728217 size=3366744
fetched_channel=1267170242 size=1598943
fetched_channel=1297269082 size=3250381
fetched_channel=1227436771 size=3213488
fetched_channel=1328275659 size=3195058
fetched_channel=1371778001 size=3219997
fetched_channel=1226478289 size=3149204
fetched_channel=1321570188 size=1416312
fetched_channel=1294498041 size=7054137
fetched_channel=1129197833 size=1417133
fetched_channel=1135438240 size=1179193
fetched_channel=1093396548 size=1864761
fetched_channel=1339386847 size=697447
fetched_channel=1399600169 size=1430770
fetched_channel=1261576825 size=4642123
fetched_channel=1125136365 size=3396091
fetched_channel=1074945601 size=3521059
fetched_channel=1134786908 size=2258686
fetched_channel=1220042421 size=374842
fetched_channel=1251630050 size=1806997
fetched_channel=1398892549 size=1420328
fetched_channel=1293749712 size=2727360
fetched_channel=1387320606 size=2750520
fetched_channel=1258098667 size=887574
fetched_channel=1221311339 size=2638288
fetched_channel=1158947787 size=2724332
fetched_channel=1240673228 size=2652144
fetched_channel=1081054885 size=1590625
fetched_channel=1264183469 size=1672354
fetched_channel=1383419557 size=2517225
fetched_channel=1329816173 size=2566112
fetched_channel=1143831893 size=4237316
fetched_channel=1392777632 size=1759653
fetched_channel=1138714324 size=852319
fetched_channel=1110470285 size=3382351
fetched_channel=1151387276 size=1737942
fetched_channel=1284981137 size=2514825
fetched_channel=1106396065 size=1088709
fetched_channel=1189429611 size=2433099
fetched_channel=1093840480 size=2348985
fetched_channel=1134682431 size=1448998
fetched_channel=1268798078 size=348714
fetched_channel=1214871289 size=137763
fetched_channel=1260497025 size=20000
fetched_channel=1142098152 size=27623
fetched_channel=1355931489 size=3286
{"accepted_95": false, "decision": "blocked_mehrnoom_social_gate_below_95_coverage_or_ece", "elapsed_seconds": 146.31, "rule": "nb_score >= 9.11666"}
