slot_id,provider,instrument,timeframe,root,crosswalk_layer,crosswalk_decision,source_window_count,materialized_closed_window_count,deferred_refresh_window_count,slot_status
source-window-crosswalk-v1-0001,yfinance,^GSPC,1m,Bull,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0002,yfinance,^GSPC,1m,Bear,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0003,yfinance,^GSPC,1m,Crisis,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0004,yfinance,^GSPC,5m,Bull,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0005,yfinance,^GSPC,5m,Bear,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0006,yfinance,^GSPC,5m,Crisis,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0007,yfinance,^GSPC,15m,Bull,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0008,yfinance,^GSPC,15m,Bear,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0009,yfinance,^GSPC,15m,Crisis,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0010,yfinance,^GSPC,30m,Bull,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0011,yfinance,^GSPC,30m,Bear,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0012,yfinance,^GSPC,30m,Crisis,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0013,yfinance,^GSPC,1h,Bull,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0014,yfinance,^GSPC,1h,Bear,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0015,yfinance,^GSPC,1h,Crisis,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0016,yfinance,^GSPC,4h,Bull,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0017,yfinance,^GSPC,4h,Bear,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0018,yfinance,^GSPC,4h,Crisis,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0019,yfinance,^GSPC,1mo,Bull,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0020,yfinance,^GSPC,1mo,Bear,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0021,yfinance,^GSPC,1mo,Crisis,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0022,yfinance,SPY,1m,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0023,yfinance,SPY,1m,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0024,yfinance,SPY,1m,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0025,yfinance,SPY,5m,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0026,yfinance,SPY,5m,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0027,yfinance,SPY,5m,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0028,yfinance,SPY,15m,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0029,yfinance,SPY,15m,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0030,yfinance,SPY,15m,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0031,yfinance,SPY,30m,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0032,yfinance,SPY,30m,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0033,yfinance,SPY,30m,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
