window_id,root,source_gate_id,provider,instrument,market_context,timeframe,start_date,end_date,row_count,train_rows,calibration_rows,test_rows,rule,gate_calibration_lcb,gate_test_lcb,status
bull-AAPL-1d-2010-04-05-2010-04-15,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2010-04-05,2010-04-15,9,0,0,9,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2010-12-21-2010-12-22,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2010-12-21,2010-12-22,2,0,0,2,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2010-12-27-2010-12-29,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2010-12-27,2010-12-29,3,0,0,3,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2011-01-03-2011-01-14,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2011-01-03,2011-01-14,10,0,0,10,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2012-01-17-2012-01-18,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2012-01-17,2012-01-18,2,2,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2014-05-27-2014-05-29,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2014-05-27,2014-05-29,3,0,0,3,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2014-06-03-2014-06-10,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2014-06-03,2014-06-10,6,0,0,6,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2014-07-03-2014-07-07,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2014-07-03,2014-07-07,2,2,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2014-07-14-2014-07-14,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2014-07-14,2014-07-14,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2014-08-20-2014-08-25,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2014-08-20,2014-08-25,4,4,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2014-08-27-2014-09-02,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2014-08-27,2014-09-02,4,4,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2014-11-13-2014-11-18,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2014-11-13,2014-11-18,4,1,3,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2014-11-20-2014-11-24,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2014-11-20,2014-11-24,3,0,3,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2014-11-26-2014-11-28,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2014-11-26,2014-11-28,2,0,2,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2016-04-06-2016-04-06,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2016-04-06,2016-04-06,1,0,1,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2016-10-13-2016-10-18,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2016-10-13,2016-10-18,4,4,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2016-10-24-2016-10-25,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2016-10-24,2016-10-25,2,2,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2017-01-06-2017-01-11,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2017-01-06,2017-01-11,4,0,0,4,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2017-01-17-2017-01-30,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2017-01-17,2017-01-30,10,0,0,10,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2017-03-03-2017-03-03,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2017-03-03,2017-03-03,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2017-03-07-2017-03-07,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2017-03-07,2017-03-07,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2017-03-15-2017-03-16,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2017-03-15,2017-03-16,2,2,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2017-03-20-2017-03-20,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2017-03-20,2017-03-20,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2017-03-22-2017-03-22,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2017-03-22,2017-03-22,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2017-03-28-2017-04-04,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2017-03-28,2017-04-04,6,6,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2017-04-25-2017-04-25,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2017-04-25,2017-04-25,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2017-05-01-2017-05-03,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2017-05-01,2017-05-03,3,3,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2017-05-05-2017-05-05,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2017-05-05,2017-05-05,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2017-05-11-2017-05-15,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2017-05-11,2017-05-15,3,3,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2018-06-04-2018-06-07,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2018-06-04,2018-06-07,4,0,0,4,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2018-07-25-2018-07-26,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2018-07-25,2018-07-26,2,2,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2018-08-29-2018-09-04,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2018-08-29,2018-09-04,4,4,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
