ticker,provider_rows,provider_sessions,date_min,date_max,strict_accepted_roots,strict_accepted_root_count,download_state
AAPL,5069,730,2023-06-12,2026-05-08,Bull,1,ready
ABBV,5068,730,2023-06-12,2026-05-08,Bull,1,ready
AMD,5069,730,2023-06-12,2026-05-08,Crisis,1,ready
AMZN,5069,730,2023-06-12,2026-05-08,Bull,1,ready
BA,5078,730,2023-06-12,2026-05-08,,0,ready
BAC,5068,730,2023-06-12,2026-05-08,Bull,1,ready
CAT,5068,730,2023-06-12,2026-05-08,Bull,1,ready
COP,5068,730,2023-06-12,2026-05-08,Bear,1,ready
CSCO,5069,730,2023-06-12,2026-05-08,Bull,1,ready
CVX,5068,730,2023-06-12,2026-05-08,"Bull,Sideways",2,ready
DIS,5068,730,2023-06-12,2026-05-08,Sideways,1,ready
GE,5068,730,2023-06-12,2026-05-08,Bull,1,ready
GOOGL,5069,730,2023-06-12,2026-05-08,Bull,1,ready
GS,5078,730,2023-06-12,2026-05-08,Bull,1,ready
HD,5068,730,2023-06-12,2026-05-08,,0,ready
INTC,5069,730,2023-06-12,2026-05-08,Crisis,1,ready
JNJ,5068,730,2023-06-12,2026-05-08,Bull,1,ready
JPM,5068,730,2023-06-12,2026-05-08,Bull,1,ready
MCD,5068,730,2023-06-12,2026-05-08,"Bull,Sideways",2,ready
META,5078,730,2023-06-12,2026-05-08,Bull,1,ready
MS,5068,730,2023-06-12,2026-05-08,Bull,1,ready
MSFT,5069,730,2023-06-12,2026-05-08,"Bull,Sideways",2,ready
NFLX,5069,730,2023-06-12,2026-05-08,Bull,1,ready
NKE,5068,730,2023-06-12,2026-05-08,Bear,1,ready
NVDA,5069,730,2023-06-12,2026-05-08,Bull,1,ready
PFE,5068,730,2023-06-12,2026-05-08,"Bear,Sideways",2,ready
SBUX,5069,730,2023-06-12,2026-05-08,Bear,1,ready
T,5068,730,2023-06-12,2026-05-08,Bull,1,ready
TMO,5026,724,2023-06-21,2026-05-08,,0,ready
TSLA,5069,730,2023-06-12,2026-05-08,Crisis,1,ready
UNH,5068,730,2023-06-12,2026-05-08,,0,ready
VZ,5068,730,2023-06-12,2026-05-08,"Bull,Sideways",2,ready
WFC,5077,730,2023-06-12,2026-05-08,Bull,1,ready
WMT,5069,730,2023-06-12,2026-05-08,Bull,1,ready
XOM,5068,730,2023-06-12,2026-05-08,Bull,1,ready
^DJI,5078,730,2023-06-12,2026-05-08,Bull,1,ready
^GSPC,5069,730,2023-06-12,2026-05-08,Bull,1,ready
^IXIC,5078,730,2023-06-12,2026-05-08,Bull,1,ready
^RUT,5067,730,2023-06-12,2026-05-08,"Bull,Sideways",2,ready
