recipe_id,pair,parent_regime_root,regime_profit_branch_path,bbn_evidence_node,bbn_evidence_value,realized_R,allowed_action,source
CrashRebound,SOL/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.05473472340656634,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,AVAX/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.06958169612745047,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,AVAX/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,negative,-0.037924310671660494,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,AVAX/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,negative,-0.005755185990480109,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,BNB/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.04450744869384292,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,SOL/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.10286092460132894,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,BNB/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.039303811312840664,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,SOL/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.02482713067372463,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,BNB/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.027422133140049276,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,SOL/USDT,Sideways,Sideways -> RangeShockMeanReversion -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.06613469962695231,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,AVAX/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.052665644214939994,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,BNB/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.02418150616238383,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,SOL/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.047232004111685606,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,BNB/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.020207234051486216,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,AVAX/USDT,Sideways,Sideways -> RangeShockMeanReversion -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.07145521034871424,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,BNB/USDT,Sideways,Sideways -> RangeShockMeanReversion -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,negative,-0.08178750183826326,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,SOL/USDT,Sideways,Sideways -> RangeShockMeanReversion -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,negative,-0.0855662840779494,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,SOL/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.02247413464526083,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,BNB/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.005186003170454654,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
CrashRebound,AVAX/USDT,Bull,Bull -> PullbackInUptrend -> DrawdownLt20RsiLt35VolumeConfirmDailyEmaSlopeUp -> CrashRebound,market_regime_context.root_then_drawdown_rebound_edge,positive,0.1104417590989973,soft_evidence_only_rc_spa_rejected,board_a_source_date_root_trade_row
