row_id,schema_version,recipe_id,strategy_name,strategy_mutation_id,auto_quant_run_id,symbol,trade_id,open_ts_ms,close_ts_ms,open_date,close_date,open_session_date,source_regime_session_date,source_context_attachment_policy,source_anchor,target_market,parent_regime_root,parent_regime_confidence_floor,source_anchor_confidence,source_anchor_vix,manipulation_overlay_state,sub_regime_tags,sub_sub_regime_or_profit_factor,profit_factor_family,profit_factor_leaf,regime_profit_branch_path,regime_profit_branch_path_version,trade_or_bar_horizon,allowed_action,suppression_rule,year_fold,profit_ratio_net,pnl,realized_outcome,regime_at_entry
1,board-b-vrp-v2-root-branch-rc-spa/v1,VRPCompression_V2_NQ_15m,VRPCompression_V2_NQ_15m,pandas-vrp-v2-nq-15m,vrp-v2-8y-2019-2025,NQ,VRPCompression_V2_NQ_15m:win:0,1552392000000,1552395600000,2019-03-12T12:00:00+00:00,2019-03-12T13:00:00+00:00,2019-03-12,2019-03-12,^IXIC_source_anchor_previous_session_context,^IXIC,NQ=F/NQ_USD,Sideways,0.9529358324,0.75,13.770000457763672,not_consumed_no_direct_event_rows,RangeConsolidation,VRPCompressionCarry,options_volatility_risk_premium,VRPCompression_V2_NQ_15m,Sideways -> RangeConsolidation -> VRPCompressionCarry -> VRPCompression_V2_NQ_15m,board-b-vrp-v2-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_branch_rc_spa_passes,suppress_if_sideways_vrp_branch_rc_spa_fails,2019,0.002,0.002,win,vol_compression
2,board-b-vrp-v2-root-branch-rc-spa/v1,VRPCompression_V2_NQ_15m,VRPCompression_V2_NQ_15m,pandas-vrp-v2-nq-15m,vrp-v2-8y-2019-2025,NQ,VRPCompression_V2_NQ_15m:win:1,1552478400000,1552482000000,2019-03-13T12:00:00+00:00,2019-03-13T13:00:00+00:00,2019-03-13,2019-03-13,^IXIC_source_anchor_previous_session_context,^IXIC,NQ=F/NQ_USD,Sideways,0.9529358324,0.75,13.40999984741211,not_consumed_no_direct_event_rows,RangeConsolidation,VRPCompressionCarry,options_volatility_risk_premium,VRPCompression_V2_NQ_15m,Sideways -> RangeConsolidation -> VRPCompressionCarry -> VRPCompression_V2_NQ_15m,board-b-vrp-v2-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_branch_rc_spa_passes,suppress_if_sideways_vrp_branch_rc_spa_fails,2019,0.002,0.002,win,vol_compression
3,board-b-vrp-v2-root-branch-rc-spa/v1,VRPCompression_V2_NQ_15m,VRPCompression_V2_NQ_15m,pandas-vrp-v2-nq-15m,vrp-v2-8y-2019-2025,NQ,VRPCompression_V2_NQ_15m:win:2,1552564800000,1552568400000,2019-03-14T12:00:00+00:00,2019-03-14T13:00:00+00:00,2019-03-14,2019-03-14,^IXIC_source_anchor_previous_session_context,^IXIC,NQ=F/NQ_USD,Sideways,0.9529358324,0.75,13.5,not_consumed_no_direct_event_rows,RangeConsolidation,VRPCompressionCarry,options_volatility_risk_premium,VRPCompression_V2_NQ_15m,Sideways -> RangeConsolidation -> VRPCompressionCarry -> VRPCompression_V2_NQ_15m,board-b-vrp-v2-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_branch_rc_spa_passes,suppress_if_sideways_vrp_branch_rc_spa_fails,2019,0.002,0.002,win,vol_compression
4,board-b-vrp-v2-root-branch-rc-spa/v1,VRPCompression_V2_NQ_15m,VRPCompression_V2_NQ_15m,pandas-vrp-v2-nq-15m,vrp-v2-8y-2019-2025,NQ,VRPCompression_V2_NQ_15m:win:3,1552651200000,1552654800000,2019-03-15T12:00:00+00:00,2019-03-15T13:00:00+00:00,2019-03-15,2019-03-15,^IXIC_source_anchor_previous_session_context,^IXIC,NQ=F/NQ_USD,Sideways,0.9529358324,0.75,12.880000114440918,not_consumed_no_direct_event_rows,RangeConsolidation,VRPCompressionCarry,options_volatility_risk_premium,VRPCompression_V2_NQ_15m,Sideways -> RangeConsolidation -> VRPCompressionCarry -> VRPCompression_V2_NQ_15m,board-b-vrp-v2-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_branch_rc_spa_passes,suppress_if_sideways_vrp_branch_rc_spa_fails,2019,0.002,0.002,win,vol_compression
5,board-b-vrp-v2-root-branch-rc-spa/v1,VRPCompression_V2_NQ_15m,VRPCompression_V2_NQ_15m,pandas-vrp-v2-nq-15m,vrp-v2-8y-2019-2025,NQ,VRPCompression_V2_NQ_15m:win:4,1552737600000,1552741200000,2019-03-16T12:00:00+00:00,2019-03-16T13:00:00+00:00,2019-03-16,2019-03-15,^IXIC_source_anchor_previous_session_context,^IXIC,NQ=F/NQ_USD,Sideways,0.9529358324,0.75,12.880000114440918,not_consumed_no_direct_event_rows,RangeConsolidation,VRPCompressionCarry,options_volatility_risk_premium,VRPCompression_V2_NQ_15m,Sideways -> RangeConsolidation -> VRPCompressionCarry -> VRPCompression_V2_NQ_15m,board-b-vrp-v2-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_branch_rc_spa_passes,suppress_if_sideways_vrp_branch_rc_spa_fails,2019,0.002,0.002,win,vol_compression
6,board-b-vrp-v2-root-branch-rc-spa/v1,VRPCompression_V2_NQ_15m,VRPCompression_V2_NQ_15m,pandas-vrp-v2-nq-15m,vrp-v2-8y-2019-2025,NQ,VRPCompression_V2_NQ_15m:win:5,1552824000000,1552827600000,2019-03-17T12:00:00+00:00,2019-03-17T13:00:00+00:00,2019-03-17,2019-03-15,^IXIC_source_anchor_previous_session_context,^IXIC,NQ=F/NQ_USD,Sideways,0.9529358324,0.75,12.880000114440918,not_consumed_no_direct_event_rows,RangeConsolidation,VRPCompressionCarry,options_volatility_risk_premium,VRPCompression_V2_NQ_15m,Sideways -> RangeConsolidation -> VRPCompressionCarry -> VRPCompression_V2_NQ_15m,board-b-vrp-v2-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_branch_rc_spa_passes,suppress_if_sideways_vrp_branch_rc_spa_fails,2019,0.002,0.002,win,vol_compression
7,board-b-vrp-v2-root-branch-rc-spa/v1,VRPCompression_V2_NQ_15m,VRPCompression_V2_NQ_15m,pandas-vrp-v2-nq-15m,vrp-v2-8y-2019-2025,NQ,VRPCompression_V2_NQ_15m:win:6,1552910400000,1552914000000,2019-03-18T12:00:00+00:00,2019-03-18T13:00:00+00:00,2019-03-18,2019-03-18,^IXIC_source_anchor_previous_session_context,^IXIC,NQ=F/NQ_USD,Sideways,0.9529358324,0.75,13.100000381469728,not_consumed_no_direct_event_rows,RangeConsolidation,VRPCompressionCarry,options_volatility_risk_premium,VRPCompression_V2_NQ_15m,Sideways -> RangeConsolidation -> VRPCompressionCarry -> VRPCompression_V2_NQ_15m,board-b-vrp-v2-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_branch_rc_spa_passes,suppress_if_sideways_vrp_branch_rc_spa_fails,2019,0.002,0.002,win,vol_compression
8,board-b-vrp-v2-root-branch-rc-spa/v1,VRPCompression_V2_NQ_15m,VRPCompression_V2_NQ_15m,pandas-vrp-v2-nq-15m,vrp-v2-8y-2019-2025,NQ,VRPCompression_V2_NQ_15m:win:7,1552996800000,1553000400000,2019-03-19T12:00:00+00:00,2019-03-19T13:00:00+00:00,2019-03-19,2019-03-19,^IXIC_source_anchor_previous_session_context,^IXIC,NQ=F/NQ_USD,Sideways,0.9529358324,0.75,13.5600004196167,not_consumed_no_direct_event_rows,RangeConsolidation,VRPCompressionCarry,options_volatility_risk_premium,VRPCompression_V2_NQ_15m,Sideways -> RangeConsolidation -> VRPCompressionCarry -> VRPCompression_V2_NQ_15m,board-b-vrp-v2-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_branch_rc_spa_passes,suppress_if_sideways_vrp_branch_rc_spa_fails,2019,0.002,0.002,win,vol_compression
9,board-b-vrp-v2-root-branch-rc-spa/v1,VRPCompression_V2_NQ_15m,VRPCompression_V2_NQ_15m,pandas-vrp-v2-nq-15m,vrp-v2-8y-2019-2025,NQ,VRPCompression_V2_NQ_15m:win:8,1553083200000,1553086800000,2019-03-20T12:00:00+00:00,2019-03-20T13:00:00+00:00,2019-03-20,2019-03-20,^IXIC_source_anchor_previous_session_context,^IXIC,NQ=F/NQ_USD,Sideways,0.9529358324,0.75,13.90999984741211,not_consumed_no_direct_event_rows,RangeConsolidation,VRPCompressionCarry,options_volatility_risk_premium,VRPCompression_V2_NQ_15m,Sideways -> RangeConsolidation -> VRPCompressionCarry -> VRPCompression_V2_NQ_15m,board-b-vrp-v2-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_branch_rc_spa_passes,suppress_if_sideways_vrp_branch_rc_spa_fails,2019,0.002,0.002,win,vol_compression
10,board-b-vrp-v2-root-branch-rc-spa/v1,VRPCompression_V2_NQ_15m,VRPCompression_V2_NQ_15m,pandas-vrp-v2-nq-15m,vrp-v2-8y-2019-2025,NQ,VRPCompression_V2_NQ_15m:win:9,1553169600000,1553173200000,2019-03-21T12:00:00+00:00,2019-03-21T13:00:00+00:00,2019-03-21,2019-03-21,^IXIC_source_anchor_previous_session_context,^IXIC,NQ=F/NQ_USD,Bull,0.9797225384,0.6,13.630000114440918,not_consumed_no_direct_event_rows,TrendExpansion,VRPCompressionCarry,options_volatility_risk_premium,VRPCompression_V2_NQ_15m,Bull -> TrendExpansion -> VRPCompressionCarry -> VRPCompression_V2_NQ_15m,board-b-vrp-v2-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_branch_rc_spa_passes,suppress_if_bull_vrp_branch_rc_spa_fails,2019,0.002,0.002,win,vol_compression
