coin,symbol,source_buy_rows,provider_rows,first_provider_dt,last_provider_dt,status
ADA,ADABTC,456,5602,2017-11-30T12:00:00+00:00,2018-07-24T01:00:00+00:00,ok
XRP,XRPBTC,439,6279,2017-11-02T07:00:00+00:00,2018-07-24T01:00:00+00:00,ok
ADX,ADXBTC,417,5635,2017-11-29T03:00:00+00:00,2018-07-24T01:00:00+00:00,ok
ETC,ETCBTC,416,6781,2017-10-12T09:00:00+00:00,2018-07-24T01:00:00+00:00,ok
TRX,TRXBTC,344,6330,2017-10-31T04:00:00+00:00,2018-07-24T01:00:00+00:00,ok
STEEM,STEEMBTC,308,4094,2018-02-01T09:00:00+00:00,2018-07-24T01:00:00+00:00,ok
XLM,XLMBTC,287,5416,2017-12-08T06:00:00+00:00,2018-07-24T01:00:00+00:00,ok
ETH,ETHBTC,275,8940,2017-07-14T04:00:00+00:00,2018-07-24T01:00:00+00:00,ok
LINK,LINKBTC,233,7118,2017-09-28T08:00:00+00:00,2018-07-24T01:00:00+00:00,ok
LTC,LTCBTC,220,8940,2017-07-14T04:00:00+00:00,2018-07-24T01:00:00+00:00,ok
ZEC,ZECBTC,203,5995,2017-11-14T03:00:00+00:00,2018-07-24T01:00:00+00:00,ok
DASH,DASHBTC,178,6594,2017-10-20T04:00:00+00:00,2018-07-24T01:00:00+00:00,ok
DOGE,DOGEBTC,173,0,,,no_rows
ZEN,ZENBTC,129,1465,2018-05-23T07:00:00+00:00,2018-07-24T01:00:00+00:00,ok
GAS,GASBTC,128,8364,2017-08-07T04:00:00+00:00,2018-07-24T01:00:00+00:00,ok
KNC,KNCBTC,82,7170,2017-09-26T04:00:00+00:00,2018-07-24T01:00:00+00:00,ok
BNB,BNBBTC,79,8940,2017-07-14T04:00:00+00:00,2018-07-24T01:00:00+00:00,ok
