file,required_field
positive_spoofing_layering_rows.csv,label
positive_spoofing_layering_rows.csv,source_report
positive_spoofing_layering_rows.csv,source_section
positive_spoofing_layering_rows.csv,trade_date
positive_spoofing_layering_rows.csv,symbol
positive_spoofing_layering_rows.csv,venue_or_market_center
positive_spoofing_layering_rows.csv,participant_type_code
positive_spoofing_layering_rows.csv,participant_identifier
positive_spoofing_layering_rows.csv,side
positive_spoofing_layering_rows.csv,earliest_order_received_time
positive_spoofing_layering_rows.csv,latest_order_received_time
positive_spoofing_layering_rows.csv,order_count
positive_spoofing_layering_rows.csv,total_order_quantity
positive_spoofing_layering_rows.csv,activity_description
positive_spoofing_layering_rows.csv,matched_negative_group_id
positive_spoofing_layering_rows.csv,session_bucket
positive_spoofing_layering_rows.csv,source_row_id
matched_negative_normal_activity_rows.csv,label
matched_negative_normal_activity_rows.csv,source_report
matched_negative_normal_activity_rows.csv,source_section
matched_negative_normal_activity_rows.csv,trade_date
matched_negative_normal_activity_rows.csv,symbol
matched_negative_normal_activity_rows.csv,venue_or_market_center
matched_negative_normal_activity_rows.csv,participant_type_code
matched_negative_normal_activity_rows.csv,participant_identifier
matched_negative_normal_activity_rows.csv,side
matched_negative_normal_activity_rows.csv,earliest_order_received_time
matched_negative_normal_activity_rows.csv,latest_order_received_time
matched_negative_normal_activity_rows.csv,order_count
matched_negative_normal_activity_rows.csv,total_order_quantity
matched_negative_normal_activity_rows.csv,activity_description
matched_negative_normal_activity_rows.csv,matched_negative_group_id
matched_negative_normal_activity_rows.csv,session_bucket
matched_negative_normal_activity_rows.csv,source_row_id
provenance_manifest.json,source_owner
provenance_manifest.json,export_or_hash_id
provenance_manifest.json,matched_control_policy
