market,timeframe,variant_id,bars,trades,mean_profit_ratio,win_rate,net_return_R
NQ/USD,5m,bear_intraday_breakdown_short,1053341,29979,-0.0006588724130742827,0.3037793121851963,-19.75233607155392
NQ/USD,5m,bear_intraday_relief_long,1053341,39131,-0.0007397077385930254,0.25207635889703817,-28.945503518883676
NQ/USD,5m,bear_intraday_vol_compression_short,1053341,22295,-0.0006319607754967616,0.332182103610675,-14.0895654897003
NQ/USD,5m,sideways_intraday_band_reversion,1053341,61584,-0.0007647681547802223,0.23946154845414394,-47.09748204398521
NQ/USD,5m,sideways_intraday_range_breakout,1053341,41041,-0.0007144247707263261,0.2703394166808801,-29.320707015379153
NQ/USD,5m,sideways_intraday_microtrend_filter,1053341,38392,-0.0007037751651799831,0.29263909147739114,-27.01933614158991
NQ/USD,5m,crisis_intraday_tail_short,1053341,27319,-0.0006889985440121487,0.2867235257513086,-18.82275122386789
NQ/USD,5m,crisis_intraday_relief_long,1053341,41345,-0.0007414563520517,0.22191316966985125,-30.655512875577536
NQ/USD,5m,crisis_intraday_abstain_defensive,1053341,31677,-0.0007240243511230295,0.23805915964264293,-22.934919370524206
NQ/USD,15m,bear_intraday_breakdown_short,351288,14043,-0.0005511588342200547,0.37413658050274157,-7.739923508952229
NQ/USD,15m,bear_intraday_relief_long,351288,17717,-0.0006846098664047912,0.3190156347011345,-12.129233003093686
NQ/USD,15m,bear_intraday_vol_compression_short,351288,10271,-0.00042005018642109714,0.3985006328497712,-4.314335464731089
NQ/USD,15m,sideways_intraday_band_reversion,351288,24103,-0.0007210783951995877,0.32323777123179687,-17.380152559495663
NQ/USD,15m,sideways_intraday_range_breakout,351288,17210,-0.0006101213765470003,0.35066821615339916,-10.500188890373876
NQ/USD,15m,sideways_intraday_microtrend_filter,351288,19691,-0.0006282357529278313,0.3496013407140318,-12.370590210901927
NQ/USD,15m,crisis_intraday_tail_short,351288,12610,-0.000579650235409264,0.3612212529738303,-7.309389468510819
NQ/USD,15m,crisis_intraday_relief_long,351288,16491,-0.0006384977747946813,0.31350433569825964,-10.52946680413909
NQ/USD,15m,crisis_intraday_abstain_defensive,351288,14757,-0.0006438514312246242,0.31673104289489734,-9.50131557058178
NQ/USD,1h,bear_intraday_breakdown_short,89250,5102,-0.00014330242471740666,0.45668365346922773,-0.7311289709082087
NQ/USD,1h,bear_intraday_relief_long,89250,5739,-0.0004281405458886615,0.4276006272869838,-2.4570985928550284
NQ/USD,1h,bear_intraday_vol_compression_short,89250,3939,-7.694402706216624e-06,0.473978167047474,-0.030308252259787283
NQ/USD,1h,sideways_intraday_band_reversion,89250,7178,-0.0005038845426430473,0.4208693229311786,-3.6168832470917933
NQ/USD,1h,sideways_intraday_range_breakout,89250,5184,-0.00018956061599948568,0.45852623456790126,-0.9826822333413338
NQ/USD,1h,sideways_intraday_microtrend_filter,89250,6193,-0.00033176724724829715,0.44824802196027774,-2.054634562208704
NQ/USD,1h,crisis_intraday_tail_short,89250,4481,-0.00021097189629663,0.4628431153760321,-0.945365067305199
NQ/USD,1h,crisis_intraday_relief_long,89250,5363,-0.0003130785199270718,0.4333395487600224,-1.679040102368886
NQ/USD,1h,crisis_intraday_abstain_defensive,89250,5124,-0.00040905859925219286,0.421935987509758,-2.096016262568236
