market,timeframe,variant_id,bars,trades,mean_profit_ratio,win_rate,net_return_R
SPY/YF,1d,risk_on_momentum_5d,3792,364,0.0012427905143324713,0.5659340659340659,0.45237574721701956
SPY/YF,1d,risk_on_momentum_20d,3792,248,0.004905393098733865,0.6895161290322581,1.2165374884859985
SPY/YF,1d,credit_confirmation,3792,0,0.0,0.0,0.0
SPY/YF,1d,bull_pullback_reclaim,3792,5,-0.006951750715702388,0.4,-0.034758753578511936
SPY/YF,1d,defensive_duration,3792,0,0.0,0.0,0.0
SPY/YF,1d,defensive_gold_dollar,3792,0,0.0,0.0,0.0
SPY/YF,1d,equity_downtrend_short,3792,51,-0.010156292732477437,0.3137254901960784,-0.5179709293563493
SPY/YF,1d,bear_relief_fade,3792,6,-0.00033279988084291184,0.3333333333333333,-0.001996799285057471
SPY/YF,1d,range_reversion,3792,146,-3.3713161800974346e-05,0.5,-0.004922121622942255
SPY/YF,1d,low_vol_carry,3792,0,0.0,0.0,0.0
SPY/YF,1d,range_breakout_fail,3792,0,0.0,0.0,0.0
SPY/YF,1d,crisis_defensive_duration,3792,0,0.0,0.0,0.0
SPY/YF,1d,crisis_gold_dollar,3792,0,0.0,0.0,0.0
SPY/YF,1d,crisis_equity_tail_short,3792,5,-0.010956897685292321,0.6,-0.05478448842646161
SPY/YF,1d,panic_rebound,3792,0,0.0,0.0,0.0
QQQ/YF,1d,risk_on_momentum_5d,3792,355,0.0022137174564046424,0.5971830985915493,0.7858696970236481
QQQ/YF,1d,risk_on_momentum_20d,3792,235,0.007788692272959685,0.6808510638297872,1.830342684145526
QQQ/YF,1d,credit_confirmation,3792,0,0.0,0.0,0.0
QQQ/YF,1d,bull_pullback_reclaim,3792,13,-0.0007807335207742649,0.5384615384615384,-0.010149535770065443
QQQ/YF,1d,defensive_duration,3792,0,0.0,0.0,0.0
QQQ/YF,1d,defensive_gold_dollar,3792,0,0.0,0.0,0.0
QQQ/YF,1d,equity_downtrend_short,3792,51,-0.016304137153849377,0.3137254901960784,-0.8315109948463182
QQQ/YF,1d,bear_relief_fade,3792,3,-0.04161362273866851,0.0,-0.12484086821600554
QQQ/YF,1d,range_reversion,3792,123,-0.0018749523000927376,0.44715447154471544,-0.23061913291140673
QQQ/YF,1d,low_vol_carry,3792,0,0.0,0.0,0.0
QQQ/YF,1d,range_breakout_fail,3792,0,0.0,0.0,0.0
QQQ/YF,1d,crisis_defensive_duration,3792,0,0.0,0.0,0.0
QQQ/YF,1d,crisis_gold_dollar,3792,0,0.0,0.0,0.0
