protocol_version,symbol,generated_at,candidate_set_id,candidate_set_size,rank,path_id,scenario_id,path_label,direction,raw_path_score,calibrated_path_prob,path_prob_lower_bound,execution_gate_status,execution_gate_min_path_prob,execution_gate_reason,pending_reward_state,maturity_mask,maturity_weight,calibrated_label,propensity_estimate,ips_weight,training_weight,regime_calibration_bucket,behavior_policy_probability,execution_propensity,target_policy_probability_confidence,target_policy_probability_lower_bound,target_policy_reward_prior,target_policy_reward_lower_bound,experience_prior,current_posterior,structural_baseline_score,score_model_family,score_source_kind,score_model_artifact_uri,score_generator
structural-path-ranking-target-v1,SRC_ROOT_CARRY_LONG_220646,2026-05-11T16:08:47Z,structural-candidates:SRC_ROOT_CARRY_LONG_220646:7f590d5f1b7ec57e,2,1,path:scenario:SRC_ROOT_CARRY_LONG_220646:update:actionable:execute_recommended_path:primary,scenario:SRC_ROOT_CARRY_LONG_220646:update:actionable:execute_recommended_path,recommended_execution,observe,0.894091,,,,,,unobserved,false,0.000000,,,,,SRC_ROOT_CARRY_LONG_220646:unknown,0.500000,,,,,,0.500000,0.500000,0.500000,catboost,external_model,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235716-codex-board-b-crisis-crowded-suppression-full-replay-v1/crisis-crowded-suppression-full-replay/catboost/path_ranker_model_py313/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,SRC_ROOT_CARRY_LONG_220646,2026-05-11T16:08:47Z,structural-candidates:SRC_ROOT_CARRY_LONG_220646:7f590d5f1b7ec57e,2,2,path:scenario:SRC_ROOT_CARRY_LONG_220646:update:actionable:observe_only:primary,scenario:SRC_ROOT_CARRY_LONG_220646:update:actionable:observe_only,observe_and_wait,observe,0.894091,,,,,,unobserved,false,0.000000,,,,,SRC_ROOT_CARRY_LONG_220646:unknown,0.500000,,,,,,0.500000,0.500000,0.500000,catboost,external_model,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235716-codex-board-b-crisis-crowded-suppression-full-replay-v1/crisis-crowded-suppression-full-replay/catboost/path_ranker_model_py313/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,SRC_ROOT_CARRY_LONG_220646,2026-05-11T16:08:47Z,structural-feedback-history:SRC_ROOT_CARRY_LONG_220646:91bfddef56ea7e15,1,1,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,RootCarryExpansion,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,bull,0.967970,0.494810,0.446660,observe,0.500000,path_prob_lower_bound=0.447 min_path_prob=0.500,matured_failure,true,1.000000,0.000000,0.572352,1.747175,1.747175,SRC_ROOT_CARRY_LONG_220646:manipulation_expansion,0.572352,1.000000,0.500000,0.572352,0.166667,,0.333333,0.166667,0.572352,catboost,external_model,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235716-codex-board-b-crisis-crowded-suppression-full-replay-v1/crisis-crowded-suppression-full-replay/catboost/path_ranker_model_py313/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,SRC_ROOT_CARRY_LONG_220646,2026-05-11T16:08:47Z,structural-feedback-history:SRC_ROOT_CARRY_LONG_220646:91bfddef56ea7e15,1,1,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,RootCarryExpansion,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,bull,0.967970,0.494810,0.446660,observe,0.500000,path_prob_lower_bound=0.447 min_path_prob=0.500,matured_failure,true,1.000000,0.000000,0.572352,1.747175,1.747175,SRC_ROOT_CARRY_LONG_220646:manipulation_expansion,0.572352,1.000000,0.800000,0.572352,0.500000,0.276393,0.500000,0.500000,0.572352,catboost,external_model,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235716-codex-board-b-crisis-crowded-suppression-full-replay-v1/crisis-crowded-suppression-full-replay/catboost/path_ranker_model_py313/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,SRC_ROOT_CARRY_LONG_220646,2026-05-11T16:08:47Z,structural-feedback-history:SRC_ROOT_CARRY_LONG_220646:91bfddef56ea7e15,1,2,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,RootCarryExpansion,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,bull,0.967970,0.494810,0.446660,observe,0.500000,path_prob_lower_bound=0.447 min_path_prob=0.500,matured_success,true,1.000000,1.000000,0.572352,1.747175,1.747175,SRC_ROOT_CARRY_LONG_220646:manipulation_expansion,0.572352,1.000000,0.800000,0.572352,0.500000,0.276393,0.500000,0.500000,0.572352,catboost,external_model,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235716-codex-board-b-crisis-crowded-suppression-full-replay-v1/crisis-crowded-suppression-full-replay/catboost/path_ranker_model_py313/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,SRC_ROOT_CARRY_LONG_220646,2026-05-11T16:08:47Z,structural-feedback-history:SRC_ROOT_CARRY_LONG_220646:91bfddef56ea7e15,1,1,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,RootCarryExpansion,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,bull,0.967970,0.494810,0.446660,observe,0.500000,path_prob_lower_bound=0.447 min_path_prob=0.500,matured_failure,true,1.000000,0.000000,0.572352,1.747175,1.747175,SRC_ROOT_CARRY_LONG_220646:manipulation_expansion,0.572352,1.000000,0.750000,0.572352,0.650000,0.411515,0.600000,0.650000,0.572352,catboost,external_model,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235716-codex-board-b-crisis-crowded-suppression-full-replay-v1/crisis-crowded-suppression-full-replay/catboost/path_ranker_model_py313/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,SRC_ROOT_CARRY_LONG_220646,2026-05-11T16:08:47Z,structural-feedback-history:SRC_ROOT_CARRY_LONG_220646:91bfddef56ea7e15,1,2,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,RootCarryExpansion,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,bull,0.967970,0.494810,0.446660,observe,0.500000,path_prob_lower_bound=0.447 min_path_prob=0.500,matured_success,true,1.000000,1.000000,0.572352,1.747175,1.747175,SRC_ROOT_CARRY_LONG_220646:manipulation_expansion,0.572352,1.000000,0.750000,0.572352,0.650000,0.411515,0.600000,0.650000,0.572352,catboost,external_model,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235716-codex-board-b-crisis-crowded-suppression-full-replay-v1/crisis-crowded-suppression-full-replay/catboost/path_ranker_model_py313/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,SRC_ROOT_CARRY_LONG_220646,2026-05-11T16:08:47Z,structural-feedback-history:SRC_ROOT_CARRY_LONG_220646:91bfddef56ea7e15,1,3,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,RootCarryExpansion,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,bull,0.967970,0.494810,0.446660,observe,0.500000,path_prob_lower_bound=0.447 min_path_prob=0.500,matured_success,true,1.000000,1.000000,0.572352,1.747175,1.747175,SRC_ROOT_CARRY_LONG_220646:manipulation_expansion,0.572352,1.000000,0.750000,0.572352,0.650000,0.411515,0.600000,0.650000,0.572352,catboost,external_model,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235716-codex-board-b-crisis-crowded-suppression-full-replay-v1/crisis-crowded-suppression-full-replay/catboost/path_ranker_model_py313/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,SRC_ROOT_CARRY_LONG_220646,2026-05-11T16:08:47Z,structural-feedback-history:SRC_ROOT_CARRY_LONG_220646:91bfddef56ea7e15,1,3,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,RootCarryExpansion,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,bull,0.967970,0.494810,0.446660,observe,0.500000,path_prob_lower_bound=0.447 min_path_prob=0.500,matured_success,true,1.000000,1.000000,0.572352,1.747175,1.747175,SRC_ROOT_CARRY_LONG_220646:manipulation_expansion,0.572352,1.000000,0.800000,0.572352,0.500000,0.276393,0.500000,0.500000,0.572352,catboost,external_model,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235716-codex-board-b-crisis-crowded-suppression-full-replay-v1/crisis-crowded-suppression-full-replay/catboost/path_ranker_model_py313/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,SRC_ROOT_CARRY_LONG_220646,2026-05-11T16:08:47Z,structural-feedback-history:SRC_ROOT_CARRY_LONG_220646:91bfddef56ea7e15,1,4,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,RootCarryExpansion,Bull -> RootCarryExpansion -> StopManagedRiskCarry -> SourceRootStopCarryLongHorizonV1:bull_carry_h12_sl040_tp12,bull,0.967970,0.494810,0.446660,observe,0.500000,path_prob_lower_bound=0.447 min_path_prob=0.500,matured_failure,true,1.000000,0.000000,0.572352,1.747175,1.747175,SRC_ROOT_CARRY_LONG_220646:manipulation_expansion,0.572352,1.000000,0.800000,0.572352,0.500000,0.276393,0.500000,0.500000,0.572352,catboost,external_model,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235716-codex-board-b-crisis-crowded-suppression-full-replay-v1/crisis-crowded-suppression-full-replay/catboost/path_ranker_model_py313/catboost_model.cbm,pandas_path_ranker_trainer.py
