field,value
run_id,20260512T021808-codex-autoquant-bootstrap-prepare-readiness-v1
gate_result,autoquant_bootstrap_prepare_readiness_v1=dependency_bootstrapped_prepare_blocked_by_binance_dns_data_missing_non_promoting
status_before,missing_dependency
bootstrap_exit,0
bootstrap_commit,34ba6b6ee6aa69813a50a72158d4c089d97afb96
status_after_bootstrap,dependency_ready_data_missing
prepare_exit,1
prepare_blocker,binance_dns_resolution_failed
status_after_prepare,dependency_ready_data_missing
data_ready,false
accepted_rows_added,0
canonical_merge_allowed,false
downstream_promotion_rerun_allowed,false
strict_full_objective_achieved,false
update_goal,false

