field,value
gate_result,autoquant_threaded_dns_prepare_probe_v2=threaded_connector_resolver_prepare_succeeded_data_ready_seed_required_no_promotion
shallow_patch_exit,1
connector_patch_exit,0
connector_patch_http_status,200
prepare_exit,0
status_before,dependency_ready_data_missing
status_after,dependency_ready_seed_required
healthy_after,true
data_ready_after,true
data_file_count,15
data_size_human,7.5M
accepted_rows_added,0
new_confidence_gate,false
canonical_merge_allowed,false
downstream_chain_rerun_allowed,false
strict_full_objective_achieved,false
update_goal,false
