relative_path,market_data_type,built_from,volumetric_delta_type,bars_period_type,parse_error
cache/CME US Index Futures ETH.Eastern Standard Time/MINUTE/ES 03-26/Minute_1_1_Last_Close_Tick_BidAsk_Minute_1.Last.ntb,Last,Minute,BidAsk,4,
cache/CME US Index Futures ETH.Eastern Standard Time/MINUTE/MNQ 03-26/Minute_15_1_Last_Close_Tick_BidAsk_Minute_1.Last.ntb,Last,Minute,BidAsk,4,
cache/CME US Index Futures ETH.Eastern Standard Time/MINUTE/MNQ 03-26/Minute_1_1_Last_Close_Tick_BidAsk_Minute_1.Last.ntb,Last,Minute,BidAsk,4,
cache/CME US Index Futures ETH.Eastern Standard Time/MINUTE/MNQ 03-26/Minute_240_1_Last_Close_Tick_BidAsk_Minute_1.Last.ntb,Last,Minute,BidAsk,4,
cache/CME US Index Futures ETH.Eastern Standard Time/MINUTE/MNQ 03-26/Minute_30_1_Last_Close_Tick_BidAsk_Minute_1.Last.ntb,Last,Minute,BidAsk,4,
cache/CME US Index Futures ETH.Eastern Standard Time/MINUTE/MNQ 03-26/Minute_5_1_Last_Close_Tick_BidAsk_Minute_1.Last.ntb,Last,Minute,BidAsk,4,
cache/CME US Index Futures ETH.Eastern Standard Time/MINUTE/MNQ 03-26/Minute_60_1_Last_Close_Tick_BidAsk_Minute_1.Last.ntb,Last,Minute,BidAsk,4,
cache/CME US Index Futures ETH.Eastern Standard Time/TICK/MNQ 03-26/Tick_1_1_Last_Close_Tick_BidAsk_Minute_1.Last.ntb,Last,Tick,BidAsk,0,
cache/CME US Index Futures ETH.North Asia East Standard Time/MINUTE/ES 03-26/Minute_1_1_Last_Close_Tick_BidAsk_Minute_1.Last.ntb,Last,Minute,BidAsk,4,
cache/CME US Index Futures ETH.North Asia East Standard Time/MINUTE/MNQ 03-26/Minute_1_1_Last_Close_Tick_BidAsk_Minute_1.Last.ntb,Last,Minute,BidAsk,4,
cache/CME US Index Futures ETH.North Asia East Standard Time/MINUTE/MNQ 03-26/Minute_60_1_Last_Close_Tick_BidAsk_Minute_1.Last.ntb,Last,Minute,BidAsk,4,
cache/CME US Index Futures ETH.North Asia East Standard Time/TICK/MNQ 03-26/Tick_100_1_Last_Close_Tick_BidAsk_Minute_1.Last.ntb,Last,Tick,BidAsk,0,
cache/CME US Index Futures ETH.North Asia East Standard Time/TICK/MNQ 03-26/Tick_1_1_Last_Close_Tick_BidAsk_Minute_1.Last.ntb,Last,Tick,BidAsk,0,
