provider_id,domain,ready,status,reason
"breaker_rb_long_v1","entry_model",true,"registered","entry_model_registry_member"
"cisd_rb_long_v1","entry_model",true,"registered","entry_model_registry_member"
"crypto_public_runtime","live_runtime",false,"operator_runtime_required","explicit_opt_in_required"
"external_http_runtime","live_runtime",false,"operator_runtime_required","base_url_and_service_required"
"yfinance","live_runtime",true,"ready","native_yfinance_runtime_available"
"ibkr_bridge","local_runtime",false,"configured_runtime_unhealthy","ibkr_bridge_runtime_dependencies_missing_with_gateway_reachable"
"kraken_cli","local_runtime",true,"ready","kraken_cli_config_detected"
"binance_public","market_data",false,"configured_runtime_unhealthy","python3_provider_dependencies_missing"
"bybit_public","market_data",false,"configured_runtime_unhealthy","python3_provider_dependencies_missing"
"ibkr","market_data",false,"configured_runtime_unhealthy","ibkr_runtime_dependencies_missing_with_gateway_reachable"
"kraken_public","market_data",false,"configured_runtime_unhealthy","python3_provider_dependencies_missing"
"polymarket_public","market_data",false,"configured_runtime_unhealthy","python3_provider_dependencies_missing"
"tradingview_mcp","market_data",false,"configured_runtime_unhealthy","tradingview_mcp_connectivity_probe_failed"
"yfinance","market_data",true,"ready","public_yahoo_http_endpoints"
