field,value,decision
status_before_exit_code,0,readback_ok
status_before_status,dependency_ready_data_missing,pre_prepare_state
status_before_data_ready,false,pre_prepare_state
prepare_exit_code,0,prepare_succeeded
prepare_status,prepared,prepare_succeeded
prepare_data_ready,true,runtime_ready_only
prepare_dependency_status_after,dependency_ready_seed_required,runtime_ready_only
status_after_exit_code,0,readback_ok
status_after_status,dependency_ready_seed_required,runtime_ready_only
status_after_healthy,true,runtime_ready_only
status_after_data_ready,true,runtime_ready_only
status_after_blocked_reason,auto_quant_seed_strategies_required,no_board_a_promotion
source_control_evidence_acquired,false,no_promotion
owner_export_rows_acquired,false,no_promotion
flip_approval_acquired,false,no_promotion
accepted_rows_added,0,no_promotion
new_confidence_gate,false,no_promotion
canonical_merge_allowed,false,no_promotion
downstream_promotion_rerun_allowed,false,no_promotion
strict_full_objective_achieved,false,no_promotion
trade_usable,false,no_promotion
update_goal,false,no_completion
