NQRootPulseMeanRevert enter count 58
                     date    close              enter_tag
2025-12-16 08:00:00+00:00 28039.50 root_pulse_mean_revert
2025-12-16 09:00:00+00:00 28018.50 root_pulse_mean_revert
2025-12-16 17:00:00+00:00 28036.50 root_pulse_mean_revert
2025-12-17 16:00:00+00:00 27870.50 root_pulse_mean_revert
2025-12-17 17:00:00+00:00 27858.00 root_pulse_mean_revert
2025-12-17 18:00:00+00:00 27793.75 root_pulse_mean_revert
2025-12-17 19:00:00+00:00 27811.50 root_pulse_mean_revert
2025-12-17 20:00:00+00:00 27728.25 root_pulse_mean_revert
2025-12-17 21:00:00+00:00 27787.75 root_pulse_mean_revert
2025-12-17 23:00:00+00:00 27768.00 root_pulse_mean_revert
