feature,importance
regime_confidence,0.2120763454
volatility,0.1467864491
vix,0.1375475586
symbol_AMD,0.0922091408
cpi,0.0661065042
close,0.0432902279
symbol_NVDA,0.0303278457
2y_treasury,0.0225694334
fed_funds_rate,0.0215438027
unemployment_rate,0.0211705708
symbol_JNJ,0.0171482382
symbol_NFLX,0.0167299301
10y_treasury,0.0165967167
symbol_AMZN,0.0156403642
symbol_MS,0.011550902
p_stress_smooth,0.0097284212
returns,0.0095137464
symbol_XOM,0.0092442331
symbol_CVX,0.0078356287
p_calm_smooth,0.0070718594
symbol_WMT,0.0059699007
p_stress_raw,0.0059111339
p_stress_adaptive,0.0052946487
symbol_AAPL,0.0043189258
p_fragile_smooth,0.0040588945
symbol_GE,0.0033207786
p_fragile_adaptive,0.0031861457
p_calm_raw,0.0031353375
symbol_WFC,0.0029794646
p_calm_adaptive,0.0028933722
symbol_TSLA,0.0028853483
source_owner_ahaanverma00,0.0025719419
symbol_MCD,0.0025481519
symbol_CAT,0.0024420148
p_fragile_raw,0.0022280053
symbol_T,0.0022238447
symbol_UNH,0.0021453451
symbol_META,0.0020495327
combined_confidence,0.0018990621
symbol_BAC,0.0018777337
symbol_GS,0.0015327531
symbol_CSCO,0.0015228972
symbol_NIFTY500,0.0013863399
symbol_VZ,0.0013320886
p_choppy_smooth,0.0012560154
symbol_COP,0.0011870153
confidence,0.0011478023
symbol_DIS,0.00104415
symbol_MSFT,0.00097596
symbol_GOOGL,0.0009529792
