label,threshold,calibration_support,calibration_label_hits,calibration_precision,calibration_wilson95_lcb,heldout_market_support,heldout_market_label_hits,heldout_market_precision,heldout_market_wilson95_lcb,heldout_time_support,heldout_time_label_hits,heldout_time_precision,heldout_time_wilson95_lcb,test_support,test_label_hits,test_precision,test_wilson95_lcb,min_split_support,min_split_wilson95_lcb,accepted_extra_trees_confidence_95,blockers
Bear,0.4,37501,28544,0.7611530359,0.7568110107,4963,3743,0.7541809389,0.7420083438,18849,10124,0.5371107221,0.5299856124,10806,5033,0.4657597631,0.4563684625,4963,0.4563684625,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.405,37132,28427,0.7655660885,0.7612297628,4933,3731,0.7563348875,0.7441587195,18718,10097,0.5394272892,0.5322793401,10720,4998,0.4662313433,0.4568017327,4933,0.4568017327,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.41,36749,28293,0.7698985006,0.7655671213,4890,3714,0.7595092025,0.747329776,18601,10075,0.5416375464,0.5344692576,10633,4973,0.4676949121,0.4582244969,4890,0.4582244969,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.415,36327,28160,0.7751809949,0.7708591207,4848,3693,0.7617574257,0.7495613231,18471,10047,0.543933734,0.5367426046,10553,4943,0.4683976121,0.4588903115,4848,0.4588903115,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.42,35965,28010,0.7788127346,0.7744936033,4808,3678,0.7649750416,0.7527811874,18351,10012,0.545583347,0.5383705181,10447,4909,0.4698956638,0.4603380027,4808,0.4603380027,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.425,35594,27879,0.783249986,0.7789390912,4771,3663,0.7677635716,0.7555692272,18211,9972,0.5475811323,0.5403428935,10351,4880,0.4714520336,0.4618478835,4771,0.4618478835,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.43,35236,27759,0.7878022477,0.7835019171,4740,3645,0.7689873418,0.7567736421,18084,9944,0.5498783455,0.5426174947,10254,4846,0.4725960601,0.462944989,4740,0.462944989,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.435,34900,27623,0.7914899713,0.7871959246,4687,3618,0.7719223384,0.759690136,17970,9915,0.5517529215,0.5444714458,10159,4823,0.4747514519,0.4650524024,4687,0.4650524024,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.44,34567,27468,0.7946307172,0.790339481,4646,3598,0.7744296169,0.7621874938,17846,9883,0.5537935672,0.5464895426,10065,4797,0.4766020864,0.4668554469,4646,0.4668554469,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.445,34223,27328,0.7985273062,0.7942443662,4600,3575,0.777173913,0.764919706,17688,9840,0.5563093623,0.5489763028,9985,4768,0.4775162744,0.4677295437,4600,0.4677295437,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.45,33866,27182,0.8026339101,0.7983607094,4557,3553,0.7796796138,0.7674132538,17550,9811,0.559031339,0.5516735422,9906,4738,0.4782959822,0.4684693732,4557,0.4684693732,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.455,33529,27048,0.8067046437,0.8024428619,4505,3527,0.7829078801,0.7706309056,17417,9764,0.560601711,0.5532182944,9807,4703,0.4795554196,0.4696778539,4505,0.4696778539,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.46,33191,26893,0.8102497665,0.8059956438,4469,3512,0.7858581338,0.7735880519,17283,9726,0.5627495227,0.5553409944,9718,4671,0.4806544556,0.470730513,4469,0.470730513,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.465,32824,26734,0.8144650256,0.8102229692,4429,3486,0.7870851208,0.7747828299,17155,9696,0.5651996502,0.5577676683,9608,4633,0.4822023314,0.4722200399,4429,0.4722200399,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
