check,status,evidence,decision
required_r6_owner_export_root,absent,/tmp/ict-engine-board-a-r6-owner-export-v1,no_unlock
required_native_subhour_root,absent,/tmp/ict-engine-native-subhour-source-label-intake,no_unlock
required_recency_extension_root,absent,/tmp/ict-engine-source-panel-recency-extension,no_unlock
approval_package,non_approving,/private/tmp/r6_oystacher_approval_decision_package_v1.json.valid,no_merge
databento_cli,missing,command -v databento,no_owner_feed_runtime
python_databento,missing,python3 importlib check,no_owner_feed_runtime
python_pyarrow_global,missing,python3 importlib check,no_owner_feed_runtime
owner_credential_env,missing,env scan for databento/cme/cboe/datamine/datashop/cfe,no_owner_feed_runtime
local_owner_export_files,not_found,dbn/parquet owner-export scan,no_unlock
known_staging_triplets,present_non_target,/private/tmp staging and legacy sidecars,non_promoting_do_not_copy_without_approval
promotion_status,unchanged,accepted labels 0 canonical merge false downstream rerun false update_goal false,blocked
