label,split_role,support,current_high_conf_rows,current_share_at_or_above_0_95,current_wilson95_lcb,min_high_conf_rows_needed_for_wilson95_0_95,additional_high_conf_rows_needed,required_high_conf_share,confidence_median,confidence_mean,confidence_max
Bear,calibration,32975,49,0.0014859742,0.0011242749,31404,31355,0.9523578469,0.444,0.4467924792,1.0
Bear,heldout_market,4635,3,0.0006472492,0.000220147,4433,4430,0.9564185545,0.5,0.4878714132,1.0
Bear,heldout_time,11012,0,0.0,0.0,10507,10507,0.9541409372,0.462,0.4663315474,0.857
Bear,test,6317,0,0.0,0.0,6036,6036,0.9555168593,0.5,0.4694494222,0.857
Bull,calibration,60213,5460,0.0906780928,0.0884105543,57308,51848,0.9517546045,0.6,0.5838586113,1.0
Bull,heldout_market,12786,795,0.0621773815,0.0581218497,12196,11401,0.9538557798,0.6,0.6094465822,1.0
Bull,heldout_time,19497,2417,0.1239677899,0.119416014,18582,16165,0.953069703,0.6,0.6208573412,1.0
Bull,test,12483,1521,0.1218457102,0.1162235034,11907,10386,0.9538572459,0.6,0.6277310206,1.0
Crisis,calibration,21523,130,0.0060400502,0.0050893974,20510,20380,0.9529340705,0.417,0.4113623495,0.9899731945
Crisis,heldout_market,1029,0,0.0,0.0,992,992,0.96404276,0.417,0.3915801749,0.5
Crisis,heldout_time,5076,80,0.0157604413,0.0126821341,4853,4773,0.9560677699,0.417,0.4281096539,0.9977056923
Crisis,test,2995,66,0.0220367279,0.0173592424,2869,2803,0.9579298831,0.417,0.4376208473,0.990887876
Sideways,calibration,34265,4929,0.143849409,0.1401735306,32631,27702,0.9523128557,0.6,0.6121217007,1.0
Sideways,heldout_market,7786,1671,0.2146159774,0.2056385432,7435,5764,0.9549190855,0.6,0.6760467506,1.0
Sideways,heldout_time,9799,1388,0.1416471068,0.1348835676,9352,7964,0.9543831003,0.6,0.6627965582,1.0
Sideways,test,6049,698,0.1153909737,0.1075825871,5780,5082,0.9555298396,0.6,0.6323283998,1.0
