ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
kanchana1990/world-bank-commodity-price-intelligence-19602026,World Bank Commodity Price Intelligence 1960–2026,2231883,2026-03-16 11:22:36.463000,552,44,1.0
kanchana1990/bis-global-debt-securities-intelligence-19622025,BIS Global Debt Securities Intelligence 1962–2025,28925723,2026-03-18 19:20:43.603000,182,31,1.0
ahaanverma00/nifty-500-market-and-behavior-regime-dataset,NIFTY 500 Market & Behavior Regime Dataset,1655332,2026-04-15 15:25:28.867000,14,1,0.7647059
sergionefedov/crypto-microstructure,"Crypto Microstructure 10 assets, 3 years ",973212,2026-03-17 15:13:07,30,3,0.9411765
nickdatak/us-market-regimes-dataset-1995-2024,US Market Regimes Dataset (1995-2024),163252,2026-01-23 12:42:22,32,1,1.0
vnthanhphm/14-year-bitcoin-alpha-microstructure-teaser,14-Year Bitcoin Alpha: Microstructure Teaser,55122,2026-01-30 09:17:34.477000,0,1,0.88235295
marketsignal/marketsignal-ai-feature-feed-mag-7-stocks,MarketSignal AI Feature Feed - Mag 7 Stocks,66237,2026-03-15 18:27:31,8,1,0.8235294
sergionefedov/global-stock-market-returns-by-sector-20002024,Global Stock Market Returns by Sector (2000–2024),1596338,2026-03-15 21:28:53.857000,33,1,0.9411765
thisathdamiru/bybit-multi-crypto-historical-data-2020-2026,Bybit Full-Lifetime Multi-Crypto Historical Data,18264837966,2026-05-09 10:41:59.257000,116,1,0.7647059
obesever/nem-eval-australian-nem-30-minute-benchmark,NEM-Eval: Australian NEM 30-Minute Benchmark,121323266,2026-05-07 07:21:34.403000,1,1,0.4117647
thiyaga158/market-intelligence-sythetic-dataset,Market Intelligence Sythetic Dataset,6092272,2026-04-14 12:24:07,5,0,0.47058824
svenneawolf/geopolitics-nationfiles-stability-index-nfsi,Geopolitics - NationFiles Stability Index (NFSI),1424752,2026-05-06 15:14:26.307000,4,1,0.625
