check_id,observed,decision,required_root_unlock
070315_csv_present,true,artifact_complete_no_correction_needed,false
070315_json_valid,true,artifact_complete_no_correction_needed,false
r6_owner_export_root_exists,false,missing_required_root,false
r5_recency_root_exists,false,missing_required_root,false
r3_native_subhour_root_exists,true,tsie_quarantined_crisis_absent_no_unlock,false
r3_native_subhour_data_rows,5032903,tsie_quarantined_crisis_absent_no_unlock,false
explicit_approval_present,false,approval_package_template_only_no_merge,false
canonical_merge_allowed_now,false,no_required_unlock,false
downstream_promotion_rerun,false,no_required_unlock,false
update_goal,false,strict_objective_not_complete,false
