  PID  PPID STAT  ELAPSED COMMAND
    1     0 Ss   07:39:01 /sbin/launchd
  122     1 Ss   07:38:33 /usr/libexec/logd
  124     1 Ss   07:38:33 /usr/libexec/UserEventAgent (System)
  126     1 Ss   07:38:33 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  127     1 Ss   07:38:33 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  130     1 Ss   07:38:33 /usr/sbin/systemstats --daemon
  134     1 Ss   07:38:33 /usr/libexec/configd
  136     1 Ss   07:38:33 /System/Library/CoreServices/powerd.bundle/powerd
  137     1 Ss   07:38:33 /usr/libexec/IOMFB_bics_daemon
  141     1 Ss   07:38:33 /usr/libexec/remoted
  145     1 Ss   07:38:33 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  147     1 Ss   07:38:33 /usr/libexec/watchdogd
  151     1 Us   07:38:33 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  153     1 Ss   07:38:33 /usr/libexec/kernelmanagerd
  154     1 Ss   07:38:33 /usr/libexec/diskarbitrationd
  158     1 Ss   07:38:33 /usr/sbin/syslogd
  160     1 Ss   07:38:33 /usr/libexec/thermalmonitord
  161     1 Ss   07:38:33 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  162     1 Ss   07:38:33 /usr/libexec/opendirectoryd
  164     1 Ss   07:38:33 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  165     1 Ss   07:38:33 /System/Library/CoreServices/launchservicesd
  166     1 Ss   07:38:33 /usr/libexec/timed
  167     1 Ss   07:38:33 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  168     1 Ss   07:38:33 /usr/sbin/securityd -i
  170     1 Ss   07:38:33 /usr/libexec/locationd
  171     1 Ss   07:38:33 /usr/libexec/nesessionmanager
  173     1 Ss   07:38:33 autofsd
  174     1 Ss   07:38:33 /usr/libexec/dasd
  175     1 Ss   07:38:33 /usr/libexec/corerepaird
  177     1 Ss   07:38:33 /usr/sbin/distnoted daemon
  179     1 Ss   07:38:33 /usr/libexec/PerfPowerServices
  181     1 Ss   07:38:33 /System/Library/CoreServices/logind
  182     1 Ss   07:38:33 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  183     1 Ss   07:38:33 /usr/sbin/KernelEventAgent
  187     1 Ss   07:38:33 /usr/sbin/bluetoothd
  188     1 Ss   07:38:33 /usr/sbin/notifyd
  190     1 Ss   07:38:33 /usr/libexec/corebrightnessd --launchd
  191     1 Ss   07:38:33 /usr/libexec/AirPlayXPCHelper
  192     1 Ss   07:38:33 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  194     1 Ss   07:38:33 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  195     1 Ss   07:38:33 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
  196     1 Ss   07:38:32 /usr/sbin/cfprefsd daemon
  197     1 Ss   07:38:32 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  200     1 Ss   07:38:32 /usr/libexec/runningboardd
  201     1 Ss   07:38:32 /System/Library/CoreServices/coreservicesd
  202     1 Ss   07:38:32 /usr/sbin/coreaudiod
  204     1 Ss   07:38:32 /usr/libexec/trustd
  205     1 Ss   07:38:32 /usr/libexec/lsd runAsRoot
  206     1 Ss   07:38:32 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  216     1 Ss   07:38:32 /usr/libexec/eligibilityd
  222     1 Ss   07:38:32 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
  223     1 S    07:38:32 /usr/sbin/distnoted agent
  225     1 Ss   07:38:32 /usr/libexec/nsurlsessiond --privileged
  227     1 Ss   07:38:32 /usr/libexec/apfsd
  230     1 Ss   07:38:32 /usr/libexec/biometrickitd --launchd
  233     1 Ss   07:38:32 /usr/libexec/ApplicationFirewall/socketfilterfw
  235     1 Ss   07:38:32 /usr/libexec/airportd
  236     1 S    07:38:32 /usr/sbin/distnoted agent
  243     1 Ss   07:38:32 /usr/libexec/symptomsd
  250     1 Ss   07:38:32 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  252     1 S    07:38:32 /usr/sbin/distnoted agent
  297     1 Ss   07:38:31 /usr/libexec/syspolicyd
  298     1 S    07:38:31 /usr/sbin/distnoted agent
  300     1 Ss   07:38:31 /usr/sbin/mDNSResponder
  303     1 Ss   07:38:31 Core Audio Driver (Background Music Device.driver)
  305     1 S<s  07:38:31 /Library/Application Support/Hayaku/HayakuDaemon.app/Contents/MacOS/InjectLib --daemon /Library/Application Support/Hayaku/HayakuDaemon.app/Contents/Resources/config.json
  307     1 Ss   07:38:31 /Library/PrivilegedHelperTools/io.github.clash-verge-rev.clash-verge-rev.service.bundle/Contents/MacOS/clash-verge-service
  308     1 Ss   07:38:31 /Applications/UURemote.app/Contents/MacOS/UURemoteDaemon -daemon
  310     1 Ss   07:38:31 /Library/PrivilegedHelperTools/com.docker.vmnetd
  311     1 Ss   07:38:31 /usr/sbin/WirelessRadioManagerd
  313     1 Ss   07:38:31 /usr/libexec/rosetta/oahd
  316     1 Ss   07:38:31 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  317     1 Ss   07:38:31 /System/Library/CoreServices/appleeventsd --server
  319     1 Ss   07:38:31 /usr/libexec/audiomxd
  329     1 Ss   07:38:31 /usr/libexec/audioclocksyncd
  330     1 Ss   07:38:31 /usr/sbin/mDNSResponderHelper
  332     1 Ss   07:38:31 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  335     1 Ss   07:38:31 /usr/sbin/appleh13camerad
  341     1 Ss   07:38:31 /usr/libexec/cameracaptured
  342     1 Ss   07:38:31 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
