check,value,decision
board_hash_before_writeback,d6cbf967aa04a171d3df417ca41b0d5fef3355000a5044c7c435055c8543163e,observed
r6_owner_export_root_present,false,no_unlock
r5_recency_root_present,false,no_unlock
r3_native_subhour_root_present,true,tsie_non_promoting
r3_crisis_present,false,no_unlock
source_label_equivalence_target_present,false,no_unlock
r6_approval_package_present,true,non_approving
r6_approval_present,false,no_merge
r6_canonical_merge_allowed_now,false,no_merge
r6_downstream_rerun_allowed_now,false,no_rerun
direct_manipulation_074446_schema_ready,true,unscored_non_promoting
board_a_074528_artifacts_present,true,registered_non_promoting
board_b_074535_registered,true,user_selection_required
accepted_rows_added,0,blocked
valid_required_root_unlock,false,blocked
source_control_evidence_acquired,false,blocked
update_goal,false,blocked
