label,query,status,count,document_count,result_count,url,error
docket_document_1,"docket_id:4263217 ""Document #: 1""",ok,1,2,1,https://www.courtlistener.com/api/rest/v4/search/?q=docket_id%3A4263217+%22Document+%23%3A+1%22&type=r,
docket_core,docket_id:4263217 Oystacher,ok,1,336,1,https://www.courtlistener.com/api/rest/v4/search/?q=docket_id%3A4263217+Oystacher&type=r,
exhibit_a_spoof,"docket_id:4263217 ""Exhibit A"" SPOOF",ok,1,3,1,https://www.courtlistener.com/api/rest/v4/search/?q=docket_id%3A4263217+%22Exhibit+A%22+SPOOF&type=r,
normal_control,"docket_id:4263217 ""normal control""",ok,0,0,0,https://www.courtlistener.com/api/rest/v4/search/?q=docket_id%3A4263217+%22normal+control%22&type=r,
non_manipulative,docket_id:4263217 non-manipulative,ok,1,6,1,https://www.courtlistener.com/api/rest/v4/search/?q=docket_id%3A4263217+non-manipulative&type=r,
legitimate,docket_id:4263217 legitimate,ok,1,3,1,https://www.courtlistener.com/api/rest/v4/search/?q=docket_id%3A4263217+legitimate&type=r,
control_spoof,docket_id:4263217 control spoof,ok,1,6,1,https://www.courtlistener.com/api/rest/v4/search/?q=docket_id%3A4263217+control+spoof&type=r,
false_positive,"docket_id:4263217 ""false positive""",ok,0,0,0,https://www.courtlistener.com/api/rest/v4/search/?q=docket_id%3A4263217+%22false+positive%22&type=r,
market_depth,"docket_id:4263217 ""market depth""",ok,1,7,1,https://www.courtlistener.com/api/rest/v4/search/?q=docket_id%3A4263217+%22market+depth%22&type=r,
order_book,"docket_id:4263217 ""order book""",ok,1,7,1,https://www.courtlistener.com/api/rest/v4/search/?q=docket_id%3A4263217+%22order+book%22&type=r,
source_owned,"docket_id:4263217 ""source-owned""",ok,0,0,0,https://www.courtlistener.com/api/rest/v4/search/?q=docket_id%3A4263217+%22source-owned%22&type=r,
matched_control,"docket_id:4263217 ""matched control""",ok,0,0,0,https://www.courtlistener.com/api/rest/v4/search/?q=docket_id%3A4263217+%22matched+control%22&type=r,
