method,status,url,storage_name,docket_entry,subdocument,content_length,content_type,elapsed_ms,error,body_prefix
GET,401,https://www.courtlistener.com/api/rest/v4/dockets/?docket_number=1%3A15-cv-09196,,,,58,application/json,579.5,Unauthorized,"{""detail"":""Authentication credentials were not provided.""}"
GET,403,https://www.courtlistener.com/docket/4350132/commodity-futures-trading-commission-v-3-red-trading-llc/,,,,919,text/html,531.3,Forbidden,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
<HTML><HEAD><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1"">
<TITLE>ERROR: The request could not be satisfied</TI"
HEAD,429,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.0.pdf,gov.uscourts.ilnd.316889.1.0.pdf,1,0,964,text/html,916.3,Too Many Requests,
HEAD,429,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.1.pdf,gov.uscourts.ilnd.316889.1.1.pdf,1,1,964,text/html,724.8,Too Many Requests,
HEAD,429,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.2.pdf,gov.uscourts.ilnd.316889.1.2.pdf,1,2,964,text/html,1011.5,Too Many Requests,
HEAD,429,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.3.pdf,gov.uscourts.ilnd.316889.1.3.pdf,1,3,964,text/html,1769.1,Too Many Requests,
HEAD,429,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.4.pdf,gov.uscourts.ilnd.316889.1.4.pdf,1,4,964,text/html,684.3,Too Many Requests,
HEAD,429,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.2.0.pdf,gov.uscourts.ilnd.316889.2.0.pdf,2,0,964,text/html,1513.7,Too Many Requests,
HEAD,429,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.2.1.pdf,gov.uscourts.ilnd.316889.2.1.pdf,2,1,964,text/html,655.4,Too Many Requests,
HEAD,429,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.2.2.pdf,gov.uscourts.ilnd.316889.2.2.pdf,2,2,964,text/html,656.8,Too Many Requests,
HEAD,429,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.2.3.pdf,gov.uscourts.ilnd.316889.2.3.pdf,2,3,964,text/html,652.2,Too Many Requests,
HEAD,429,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.2.4.pdf,gov.uscourts.ilnd.316889.2.4.pdf,2,4,964,text/html,674.8,Too Many Requests,
HEAD,429,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.3.0.pdf,gov.uscourts.ilnd.316889.3.0.pdf,3,0,964,text/html,916.7,Too Many Requests,
