requirement,evidence,status
"Use real ict-engine commands","command-output/*.cmd plus stdout/stderr captures","covered"
"Provider readback includes yfinance/TradingView/IBKR/Kraken surface","command-output/00_provider_status_agent.stdout.txt","covered_non_promoting"
"Auto-Quant status checked","command-output/01_auto_quant_status.stdout.txt","covered_blocked_data_missing"
"Filter / Pre-Bayes / BBN readback checked","command-output/02_pre_bayes_status.stdout.txt","covered_pass_neutralized"
"CatBoost/path-ranking status checked","command-output/03_policy_training_status.stdout.txt","covered_structural_ranker_ready_entry_models_not_ready"
"Execution tree / execution-candidate checked","command-output/06_workflow_execution_candidate.stdout.txt","covered_observe_only"
"Full workflow blocker checked","command-output/07_workflow_full_agent.stdout.txt","covered_user_selected_historical_data_missing"
"Do not promote without selected history and source/control unlock","post-093937-chain-readback-v1/post_093937_chain_readback_v1.md","covered"
"Do not call update_goal","post-093937-chain-readback-v1/post_093937_chain_readback_v1.md","covered"

