requirement,status,evidence,notes
branch_path_preserved,pass,111403_path_ranker_direct_fallback_v1.json:execution.path_id,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1
path_ranker_integration_run,pass,checks/01_path_ranker_integration_direct_fallback.exit,exit 0
external_scores_applied,pass,checks/02_apply_structural_path_ranking_external_scores.exit,exit 0
policy_training_status_captured,pass,command-output/03_policy_training_status_after_direct_fallback.out,exit 0
execution_candidate_readback_captured,pass,command-output/04_workflow_execution_candidate_after_direct_fallback.out,exit 0
full_workflow_readback_captured,pass,command-output/05_workflow_full_after_direct_fallback.out,exit 0
trainer_artifact_status,partial,111403_path_ranker_direct_fallback_v1.json:path_ranking_target.trainer_artifact_status,present_validation_insufficient
runtime_selection_status,fail_closed,111403_path_ranker_direct_fallback_v1.json:path_ranking_target.runtime_selection_status,enabled_registered_model_invalid
runtime_active_matches,fail_closed,111403_path_ranker_direct_fallback_v1.json:runtime.active_match_count,0
raw_scored_mature_gate,fail_closed,111403_path_ranker_direct_fallback_v1.json:validation.raw_scored_mature_rows,1 of 30
production_validation_gate,fail_closed,111403_path_ranker_direct_fallback_v1.json:validation.production_validation_rows,0 of 30
observation_validation_gate,pass,111403_path_ranker_direct_fallback_v1.json:validation.observation_validation_rows,146 of 30
execution_tree_admission,fail_closed,111403_path_ranker_direct_fallback_v1.json:execution.closed_loop_branch_admission_status,fail_closed
same_root_six_provider_aq_matrix,fail_closed,source_root.txt,not a fresh six-provider AQ/provider packet
promotion_allowed,fail_closed,111403_path_ranker_direct_fallback_v1.json:promotion.promotion_allowed,false
trade_usable,fail_closed,111403_path_ranker_direct_fallback_v1.json:promotion.trade_usable,false
update_goal,fail_closed,111403_path_ranker_direct_fallback_v1.json:promotion.update_goal,false
