pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday
BTC/USD,98999.99998453,98999.99998453,1.47485982,2026-04-04 12:00:00+00:00,2026-04-04 13:00:00+00:00,67125.0234375,67125.0234375,0.0,0.0,60,0.0,0.0,roi,65446.8978516,-0.025,65446.8978516,-0.025,67048.6484375,67243.5703125,False,,1.0,False,1775304000000,1775307600000,"[{'amount': 1.47485982, 'safe_price': 67125.0234375, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775304000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 98999.99998452704}, {'amount': 1.47485982, 'safe_price': 67125.0234375, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775307600000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 98999.99998452704}]",0.0,5
BTC/USD,98999.99997037,98999.99997037,1.46952237,2026-04-04 16:00:00+00:00,2026-04-04 17:00:00+00:00,67368.828125,67368.828125,0.0,0.0,60,0.0,0.0,roi,65684.6074219,-0.025,65684.6074219,-0.025,67292.453125,67491.78125,False,,1.0,False,1775318400000,1775322000000,"[{'amount': 1.46952237, 'safe_price': 67368.828125, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775318400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 98999.99997037265}, {'amount': 1.46952237, 'safe_price': 67368.828125, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775322000000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 98999.99997037265}]",0.0,5
BTC/USD,98999.9996158,98999.9996158,1.47149227,2026-04-04 20:00:00+00:00,2026-04-04 21:00:00+00:00,67278.640625,67278.640625,0.0,0.0,60,0.0,0.0,roi,65596.6746094,-0.025,65596.6746094,-0.025,67184.6953125,67402.5859375,False,,1.0,False,1775332800000,1775336400000,"[{'amount': 1.47149227, 'safe_price': 67278.640625, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775332800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 98999.99961579546}, {'amount': 1.47149227, 'safe_price': 67278.640625, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775336400000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 98999.99961579546}]",0.0,5
BTC/USD,98999.99987322,98999.99987322,1.4736515,2026-04-05 01:00:00+00:00,2026-04-05 06:00:00+00:00,67180.0625,66912.59375,0.0,0.0,300,-0.0039813709610582145,-394.15572464,exit_signal,65500.5609375,-0.025,65500.5609375,-0.025,66615.0390625,67218.015625,False,,1.0,False,1775350800000,1775368800000,"[{'amount': 1.4736515, 'safe_price': 67180.0625, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775350800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 98999.99987321874}, {'amount': 1.4736515, 'safe_price': 66912.59375, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775368800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 98605.84414857812}]",0.0,6
BTC/USD,98609.78527982,98609.78527982,1.46751142,2026-04-05 17:00:00+00:00,2026-04-05 18:00:00+00:00,67195.2421875,67269.9140625,0.0,0.0,60,0.0011112672947116043,109.58182932,roi,65515.3611329,-0.025,65515.3611329,-0.025,67174.0703125,67423.7734375,False,,1.0,False,1775408400000,1775412000000,"[{'amount': 1.46751142, 'safe_price': 67195.2421875, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775408400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 98609.78527982203}, {'amount': 1.46751142, 'safe_price': 67269.9140625, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775412000000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 98719.36710913734}]",0.0,6
BTC/USD,98718.2716442,98718.2716442,1.4652032,2026-04-05 19:00:00+00:00,2026-04-05 20:00:00+00:00,67375.140625,67375.140625,0.0,0.0,60,0.0,0.0,roi,65690.7621094,-0.025,65690.7621094,-0.025,67271.3828125,67653.4609375,False,,1.0,False,1775415600000,1775419200000,"[{'amount': 1.4652032, 'safe_price': 67375.140625, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775415600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 98718.2716442}, {'amount': 1.4652032, 'safe_price': 67375.140625, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775419200000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 98718.2716442}]",0.0,6
BTC/USD,98718.27144899,98718.27144899,1.46200862,2026-04-05 22:00:00+00:00,2026-04-05 23:00:00+00:00,67522.359375,68268.671875,0.0,0.0,60,0.011052820234740723,1091.11530821,roi,65834.3003907,-0.025,68633.9139063,-0.006,67329.8671875,69048.203125,False,,1.0,False,1775426400000,1775430000000,"[{'amount': 1.46200862, 'safe_price': 67522.359375, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775426400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 98718.27144898781}, {'amount': 1.46200862, 'safe_price': 68268.671875, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775430000000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 99809.38675720156}]",0.0,6
BTC/USD,99798.47586,99798.47586,1.43871416,2026-04-06 14:00:00+00:00,2026-04-06 15:00:00+00:00,69366.4375,69578.390625,0.0,0.0,60,0.003055557307485966,304.93996219,roi,67632.2765625,-0.025,67632.2765625,-0.025,69206.546875,69941.1171875,False,,1.0,False,1775484000000,1775487600000,"[{'amount': 1.43871416, 'safe_price': 69366.4375, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775484000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 99798.475860005}, {'amount': 1.43871416, 'safe_price': 69578.390625, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775487600000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 100103.41582219875}]",0.0,0
BTC/USD,100100.36602251,100100.36602251,1.43408228,2026-04-06 17:00:00+00:00,2026-04-06 18:00:00+00:00,69800.9921875,69800.9921875,0.0,0.0,60,0.0,0.0,roi,68055.9673829,-0.025,68055.9673829,-0.025,69283.7578125,69912.4375,False,,1.0,False,1775494800000,1775498400000,"[{'amount': 1.43408228, 'safe_price': 69800.9921875, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775494800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 100100.36602251219}, {'amount': 1.43408228, 'safe_price': 69800.9921875, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775498400000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 100100.36602251219}]",0.0,0
BTC/USD,100100.36596142,100100.36596142,1.43230683,2026-04-06 19:00:00+00:00,2026-04-06 20:00:00+00:00,69887.515625,69887.515625,0.0,0.0,60,0.0,0.0,roi,68140.3277344,-0.025,68140.3277344,-0.025,69603.796875,69973.8203125,False,,1.0,False,1775502000000,1775505600000,"[{'amount': 1.43230683, 'safe_price': 69887.515625, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775502000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 100100.36596141921}, {'amount': 1.43230683, 'safe_price': 69887.515625, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775505600000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 100100.36596141921}]",0.0,0
BTC/USD,100100.36632222,100100.36632222,1.44442042,2026-04-07 21:00:00+00:00,2026-04-07 21:00:00+00:00,69301.40625,69717.2146875,0.0,0.0,0,0.005999999999967095,600.60219793,trailing_stop_loss,67568.8710938,-0.025,69739.6301875,-0.006,69301.40625,70160.59375,False,,1.0,False,1775595600000,1775595600000,"[{'amount': 1.44442042, 'safe_price': 69301.40625, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775595600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 100100.36632221562}, {'amount': 1.44442042, 'safe_price': 69717.2146875, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775595600000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 100700.96852014892}]",0.0,1
BTC/USD,100694.96247566,100694.96247566,1.44031529,2026-04-07 22:00:00+00:00,2026-04-07 22:00:00+00:00,69911.75,71170.1615,0.0,0.0,0,0.017999999999981777,1812.50932456,roi,68163.95625,-0.025,71001.7694532,-0.006,69911.75,71430.3515625,False,,1.0,False,1775599200000,1775599200000,"[{'amount': 1.44031529, 'safe_price': 69911.75, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775599200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 100694.9624756575}, {'amount': 1.44031529, 'safe_price': 71170.1615, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775599200000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 102507.47180021934}]",0.0,1
BTC/USD,102489.34676681,102489.34676681,1.43619127,2026-04-08 03:00:00+00:00,2026-04-08 04:00:00+00:00,71361.90625,71361.90625,0.0,0.0,60,0.0,0.0,roi,69577.8585938,-0.025,69577.8585938,-0.025,71273.4453125,71631.9765625,False,,1.0,False,1775617200000,1775620800000,"[{'amount': 1.43619127, 'safe_price': 71361.90625, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775617200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 102489.34676680843}, {'amount': 1.43619127, 'safe_price': 71361.90625, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775620800000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 102489.34676680843}]",0.0,2
BTC/USD,102489.34646723,102489.34646723,1.42912257,2026-04-08 06:00:00+00:00,2026-04-08 07:00:00+00:00,71714.875,71714.875,0.0,0.0,60,0.0,0.0,roi,69922.003125,-0.025,69922.003125,-0.025,71597.65625,71911.2734375,False,,1.0,False,1775628000000,1775631600000,"[{'amount': 1.42912257, 'safe_price': 71714.875, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775628000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 102489.34646722875}, {'amount': 1.42912257, 'safe_price': 71714.875, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775631600000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 102489.34646722875}]",0.0,2
