market,pair,timeframe,rows,start,end,source,output
NQ,NQ/USD,1m,301577,2012-07-06T12:46:00+00:00,2023-10-26T16:19:00+00:00,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/nq.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135532+0800-codex-long-history-es-nq-1m-aq-stage-retry-v1/workspace/auto-quant/user_data/data/NQ_USD-1m.feather
NQ,NQ/USD,5m,73909,2012-07-06T12:45:00+00:00,2023-10-26T16:15:00+00:00,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/nq.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135532+0800-codex-long-history-es-nq-1m-aq-stage-retry-v1/workspace/auto-quant/user_data/data/NQ_USD-5m.feather
NQ,NQ/USD,15m,28909,2012-07-06T12:45:00+00:00,2023-10-26T16:15:00+00:00,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/nq.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135532+0800-codex-long-history-es-nq-1m-aq-stage-retry-v1/workspace/auto-quant/user_data/data/NQ_USD-15m.feather
NQ,NQ/USD,1h,8880,2012-07-06T12:00:00+00:00,2023-10-26T16:00:00+00:00,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/nq.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135532+0800-codex-long-history-es-nq-1m-aq-stage-retry-v1/workspace/auto-quant/user_data/data/NQ_USD-1h.feather
NQ,NQ/USD,4h,2912,2012-07-06T12:00:00+00:00,2023-10-26T16:00:00+00:00,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/nq.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135532+0800-codex-long-history-es-nq-1m-aq-stage-retry-v1/workspace/auto-quant/user_data/data/NQ_USD-4h.feather
NQ,NQ/USD,1d,724,2012-07-06T00:00:00+00:00,2023-10-26T00:00:00+00:00,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/nq.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135532+0800-codex-long-history-es-nq-1m-aq-stage-retry-v1/workspace/auto-quant/user_data/data/NQ_USD-1d.feather
ES,ES/USD,1m,299107,2012-04-23T13:38:00+00:00,2025-08-04T12:10:00+00:00,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/es.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135532+0800-codex-long-history-es-nq-1m-aq-stage-retry-v1/workspace/auto-quant/user_data/data/ES_USD-1m.feather
ES,ES/USD,5m,89433,2012-04-23T13:35:00+00:00,2025-08-04T12:10:00+00:00,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/es.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135532+0800-codex-long-history-es-nq-1m-aq-stage-retry-v1/workspace/auto-quant/user_data/data/ES_USD-5m.feather
ES,ES/USD,15m,39717,2012-04-23T13:30:00+00:00,2025-08-04T12:00:00+00:00,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/es.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135532+0800-codex-long-history-es-nq-1m-aq-stage-retry-v1/workspace/auto-quant/user_data/data/ES_USD-15m.feather
ES,ES/USD,1h,14036,2012-04-23T13:00:00+00:00,2025-08-04T12:00:00+00:00,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/es.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135532+0800-codex-long-history-es-nq-1m-aq-stage-retry-v1/workspace/auto-quant/user_data/data/ES_USD-1h.feather
ES,ES/USD,4h,5075,2012-04-23T12:00:00+00:00,2025-08-04T12:00:00+00:00,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/es.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135532+0800-codex-long-history-es-nq-1m-aq-stage-retry-v1/workspace/auto-quant/user_data/data/ES_USD-4h.feather
ES,ES/USD,1d,1383,2012-04-23T00:00:00+00:00,2025-08-04T00:00:00+00:00,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/es.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135532+0800-codex-long-history-es-nq-1m-aq-stage-retry-v1/workspace/auto-quant/user_data/data/ES_USD-1d.feather
