pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday
NQ/USD,41676.0,41676.0,16.0,2012-09-12 16:00:00+00:00,2012-09-25 19:00:00+00:00,2604.75,2607.75,0.0,0.0,18900,0.001151742009789807,48.0,exit_signal,2552.66,-0.02,2552.66,-0.02,2604.75,2621.5,False,,1.0,False,1347465600000,1348599600000,"[{'amount': 16.0, 'safe_price': 2604.75, 'ft_order_side': 'buy', 'order_filled_timestamp': 1347465600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 41676.0}, {'amount': 16.0, 'safe_price': 2607.75, 'ft_order_side': 'sell', 'order_filled_timestamp': 1348599600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 41724.0}]",0.0,1
ES/USD,43216.0,43216.0,32.0,2012-08-17 14:00:00+00:00,2012-09-26 20:00:00+00:00,1350.5,1360.25,0.0,0.0,57960,0.0072195483154387265,312.0,exit_signal,1323.49,-0.02,1323.49,-0.02,1350.5,1360.75,False,,1.0,False,1345212000000,1348689600000,"[{'amount': 32.0, 'safe_price': 1350.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1345212000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 43216.0}, {'amount': 32.0, 'safe_price': 1360.25, 'ft_order_side': 'sell', 'order_filled_timestamp': 1348689600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 43528.0}]",0.0,2
ES/USD,43528.0,43528.0,32.0,2012-10-08 15:00:00+00:00,2012-10-10 21:00:00+00:00,1360.25,1357.0,0.0,0.0,3240,-0.0023892666789193163,-104.0,exit_signal,1333.05,-0.02,1333.05,-0.02,1357.0,1361.0,False,,1.0,False,1349708400000,1349902800000,"[{'amount': 32.0, 'safe_price': 1360.25, 'ft_order_side': 'buy', 'order_filled_timestamp': 1349708400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 43528.0}, {'amount': 32.0, 'safe_price': 1357.0, 'ft_order_side': 'sell', 'order_filled_timestamp': 1349902800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 43424.0}]",0.0,2
ES/USD,43720.0,43720.0,32.0,2012-10-18 16:00:00+00:00,2012-10-19 15:00:00+00:00,1366.25,1356.25,0.0,0.0,1380,-0.007319304666056725,-320.0,exit_signal,1338.93,-0.02,1338.93,-0.02,1356.25,1366.75,False,,1.0,False,1350576000000,1350658800000,"[{'amount': 32.0, 'safe_price': 1366.25, 'ft_order_side': 'buy', 'order_filled_timestamp': 1350576000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 43720.0}, {'amount': 32.0, 'safe_price': 1356.25, 'ft_order_side': 'sell', 'order_filled_timestamp': 1350658800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 43400.0}]",0.0,4
NQ/USD,38212.0,38212.0,16.0,2012-11-26 15:00:00+00:00,2012-11-27 19:00:00+00:00,2388.25,2402.93,0.0,0.0,1680,0.006146760180048152,234.88,trailing_stop_loss,2340.49,-0.02,2402.93,-0.005,2378.25,2415.0,False,,1.0,False,1353942000000,1354042800000,"[{'amount': 16.0, 'safe_price': 2388.25, 'ft_order_side': 'buy', 'order_filled_timestamp': 1353942000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 38212.0}, {'amount': 16.0, 'safe_price': 2402.93, 'ft_order_side': 'sell', 'order_filled_timestamp': 1354042800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 38446.88}]",0.0,1
ES/USD,42272.0,42272.0,32.0,2012-11-27 15:00:00+00:00,2012-11-28 15:00:00+00:00,1321.0,1313.5,0.0,0.0,1440,-0.005677517032551098,-240.0,exit_signal,1294.58,-0.02,1294.58,-0.02,1313.5,1321.25,False,,1.0,False,1354028400000,1354114800000,"[{'amount': 32.0, 'safe_price': 1321.0, 'ft_order_side': 'buy', 'order_filled_timestamp': 1354028400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 42272.0}, {'amount': 32.0, 'safe_price': 1313.5, 'ft_order_side': 'sell', 'order_filled_timestamp': 1354114800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 42032.0}]",0.0,2
NQ/USD,39148.0,39148.0,16.0,2012-11-29 15:00:00+00:00,2012-12-03 01:00:00+00:00,2446.75,2432.5,0.0,0.0,4920,-0.005824052314294472,-228.0,exit_signal,2397.82,-0.02,2397.82,-0.02,2420.0,2446.75,False,,1.0,False,1354201200000,1354496400000,"[{'amount': 16.0, 'safe_price': 2446.75, 'ft_order_side': 'buy', 'order_filled_timestamp': 1354201200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 39148.0}, {'amount': 16.0, 'safe_price': 2432.5, 'ft_order_side': 'sell', 'order_filled_timestamp': 1354496400000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 38920.0}]",0.0,0
NQ/USD,39184.0,39184.0,16.0,2012-12-07 14:00:00+00:00,2012-12-07 17:00:00+00:00,2449.0,2413.0,0.0,0.0,180,-0.014699877501020826,-576.0,exit_signal,2400.02,-0.02,2400.02,-0.02,2411.0,2451.0,False,,1.0,False,1354888800000,1354899600000,"[{'amount': 16.0, 'safe_price': 2449.0, 'ft_order_side': 'buy', 'order_filled_timestamp': 1354888800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 39184.0}, {'amount': 16.0, 'safe_price': 2413.0, 'ft_order_side': 'sell', 'order_filled_timestamp': 1354899600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 38608.0}]",0.0,4
ES/USD,42616.0,42616.0,32.0,2012-12-07 14:00:00+00:00,2012-12-10 08:00:00+00:00,1331.75,1326.25,0.0,0.0,3960,-0.004129904261310306,-176.0,exit_signal,1305.12,-0.02,1305.12,-0.02,1324.25,1331.75,False,,1.0,False,1354888800000,1355126400000,"[{'amount': 32.0, 'safe_price': 1331.75, 'ft_order_side': 'buy', 'order_filled_timestamp': 1354888800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 42616.0}, {'amount': 32.0, 'safe_price': 1326.25, 'ft_order_side': 'sell', 'order_filled_timestamp': 1355126400000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 42440.0}]",0.0,0
NQ/USD,38852.0,38852.0,16.0,2012-12-10 15:00:00+00:00,2012-12-11 14:00:00+00:00,2428.25,2448.7,0.0,0.0,1380,0.008421702872439,327.2,trailing_stop_loss,2379.69,-0.02,2448.7,-0.005,2419.75,2461.0,False,,1.0,False,1355151600000,1355234400000,"[{'amount': 16.0, 'safe_price': 2428.25, 'ft_order_side': 'buy', 'order_filled_timestamp': 1355151600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 38852.0}, {'amount': 16.0, 'safe_price': 2448.7, 'ft_order_side': 'sell', 'order_filled_timestamp': 1355234400000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 39179.2}]",0.0,1
ES/USD,42512.0,42512.0,32.0,2012-12-10 15:00:00+00:00,2012-12-12 21:00:00+00:00,1328.5,1329.5,0.0,0.0,3240,0.0007527286413248024,32.0,exit_signal,1301.93,-0.02,1301.93,-0.02,1326.75,1340.75,False,,1.0,False,1355151600000,1355346000000,"[{'amount': 32.0, 'safe_price': 1328.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1355151600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 42512.0}, {'amount': 32.0, 'safe_price': 1329.5, 'ft_order_side': 'sell', 'order_filled_timestamp': 1355346000000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 42544.0}]",0.0,2
NQ/USD,39372.0,39372.0,16.0,2012-12-11 15:00:00+00:00,2012-12-13 18:00:00+00:00,2460.75,2431.0,0.0,0.0,3060,-0.012089810017271158,-476.0,exit_signal,2411.54,-0.02,2411.54,-0.02,2427.75,2477.0,False,,1.0,False,1355238000000,1355421600000,"[{'amount': 16.0, 'safe_price': 2460.75, 'ft_order_side': 'buy', 'order_filled_timestamp': 1355238000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 39372.0}, {'amount': 16.0, 'safe_price': 2431.0, 'ft_order_side': 'sell', 'order_filled_timestamp': 1355421600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 38896.0}]",0.0,3
NQ/USD,39436.0,39436.0,16.0,2012-12-18 16:00:00+00:00,2012-12-19 15:00:00+00:00,2464.75,2481.78,0.0,0.0,1380,0.006909422862359266,272.48,trailing_stop_loss,2415.46,-0.02,2481.78,-0.005,2463.25,2494.25,False,,1.0,False,1355846400000,1355929200000,"[{'amount': 16.0, 'safe_price': 2464.75, 'ft_order_side': 'buy', 'order_filled_timestamp': 1355846400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 39436.0}, {'amount': 16.0, 'safe_price': 2481.78, 'ft_order_side': 'sell', 'order_filled_timestamp': 1355929200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 39708.48}]",0.0,2
ES/USD,42520.0,42520.0,32.0,2013-01-03 14:00:00+00:00,2013-01-07 00:00:00+00:00,1328.75,1330.25,0.0,0.0,4920,0.0011288805268109125,48.0,exit_signal,1302.18,-0.02,1302.18,-0.02,1323.5,1336.0,False,,1.0,False,1357221600000,1357516800000,"[{'amount': 32.0, 'safe_price': 1328.75, 'ft_order_side': 'buy', 'order_filled_timestamp': 1357221600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 42520.0}, {'amount': 32.0, 'safe_price': 1330.25, 'ft_order_side': 'sell', 'order_filled_timestamp': 1357516800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 42568.0}]",0.0,0
ES/USD,42800.0,42800.0,32.0,2013-01-09 15:00:00+00:00,2013-01-11 15:00:00+00:00,1337.5,1344.5,0.0,0.0,2880,0.005233644859813084,224.0,trailing_stop_loss,1310.75,-0.02,1344.5,-0.005,1332.0,1351.25,False,,1.0,False,1357743600000,1357916400000,"[{'amount': 32.0, 'safe_price': 1337.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1357743600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 42800.0}, {'amount': 32.0, 'safe_price': 1344.5, 'ft_order_side': 'sell', 'order_filled_timestamp': 1357916400000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 43024.0}]",0.0,4
