provider,symbol,interval,exit,rows,first_ts,last_ts,native_fetch_attempted,output_or_request
yfinance_YF,SPY,1h,0,3473,2024-05-13 13:30:00+00:00,2026-05-11 20:00:00+00:00,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/yfinance_YF/SPY_1h.csv
yfinance_YF,SPY,4h,125,0,None,None,False,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/yfinance_YF/SPY_4h.csv
yfinance_YF,SPY,1d,0,500,2024-05-13 13:30:00+00:00,2026-05-11 13:30:00+00:00,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/yfinance_YF/SPY_1d.csv
Binance,BTCUSDT,1h,0,17497,2024-05-13 00:00:00+00:00,2026-05-12 00:00:00+00:00,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/Binance/BTCUSDT_1h.csv
Binance,BTCUSDT,4h,0,4375,2024-05-13 00:00:00+00:00,2026-05-12 00:00:00+00:00,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/Binance/BTCUSDT_4h.csv
Binance,BTCUSDT,1d,0,730,2024-05-13 00:00:00+00:00,2026-05-12 00:00:00+00:00,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/Binance/BTCUSDT_1d.csv
Bybit,BTCUSDT,1h,0,1000,2026-03-31 09:00:00+00:00,2026-05-12 00:00:00+00:00,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/Bybit/BTCUSDT_1h.csv
Bybit,BTCUSDT,4h,0,1000,2025-11-26 12:00:00+00:00,2026-05-12 00:00:00+00:00,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/Bybit/BTCUSDT_4h.csv
Bybit,BTCUSDT,1d,0,730,2024-05-13 00:00:00+00:00,2026-05-12 00:00:00+00:00,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/Bybit/BTCUSDT_1d.csv
Kraken,PF_XBTUSD,1h,0,2000,2024-05-13 00:00:00+00:00,2024-08-04 07:00:00+00:00,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/Kraken/PF_XBTUSD_1h.csv
Kraken,PF_XBTUSD,4h,0,2000,2024-05-13 00:00:00+00:00,2025-04-11 04:00:00+00:00,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/Kraken/PF_XBTUSD_4h.csv
Kraken,PF_XBTUSD,1d,0,730,2024-05-13 00:00:00+00:00,2026-05-12 00:00:00+00:00,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/Kraken/PF_XBTUSD_1d.csv
IBKR,SPY,1h,0,3995,2025-05-13T08:00:00+00:00,2026-05-12T11:00:00+00:00,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/IBKR/SPY_1h.csv
IBKR,SPY,4h,125,0,None,None,False,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/IBKR/SPY_4h.csv
IBKR,SPY,1d,0,501,2024-05-13T00:00:00+00:00,2026-05-12T00:00:00+00:00,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/IBKR/SPY_1d.csv
TradingViewRemix/TVR,BITSTAMP:BTCUSD,1h,1,0,None,None,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/TradingViewRemix_TVR/request_1h.json
TradingViewRemix/TVR,BITSTAMP:BTCUSD,4h,1,0,None,None,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/TradingViewRemix_TVR/request_4h.json
TradingViewRemix/TVR,BITSTAMP:BTCUSD,1d,1,0,None,None,True,docs/experiments/actionable-regime-confidence/runs/20260512T195548+0800-codex-native-provider-timeframe-fetch-probe-v1/data/TradingViewRemix_TVR/request_1d.json
