base_symbol,comparison_symbol,relationship_type,relationship_confidence,timeframe,session,comparison_timeframe,comparison_session,timeframe_aligned,session_overlap,correlation_window_bars,recent_correlation,event_time,smt_signal,base_swing_type,base_event_time,base_level,comparison_swing_type,comparison_event_time,comparison_level,event_window_bars,event_time_delta_bars,same_event_window_confirmed,swept_side,normalized_for_inverse_correlation,raw_comparison_swing_type,raw_comparison_level,near_pd_array,pd_array_type,mss_or_cisd_confirmed,displacement_confirmed,regime_bucket,provider_provenance,evidence_source,confidence,fail_closed_reason,confirmation_role,actionable,forward_return,outcome_hit,entry_context_complete,label_fail_closed_reason,branch_path
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-07T18:25:00+00:00,bullish_smt,LL,2026-05-07T18:25:00+00:00,28642.5,HL,2026-05-07T18:10:00+00:00,7358.75,3,3,True,sell_side_liquidity,False,HL,7358.75,False,none,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.0014832135129475815,False,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement,missing_pda",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-08T19:15:00+00:00,bearish_smt,HH,2026-05-08T19:15:00+00:00,29306.0,LH,2026-05-08T19:20:00+00:00,7418.75,3,1,True,buy_side_liquidity,False,LH,7418.75,True,session_high_low,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.001126193381054356,False,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-11T05:45:00+00:00,bullish_smt,LL,2026-05-11T05:45:00+00:00,29317.5,HL,2026-05-11T05:45:00+00:00,7410.25,3,0,True,sell_side_liquidity,False,HL,7410.25,True,FVG,False,False,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.0007757422830692116,False,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-11T14:30:00+00:00,bullish_smt,LL,2026-05-11T14:30:00+00:00,29246.75,HL,2026-05-11T14:30:00+00:00,7421.5,3,0,True,sell_side_liquidity,False,HL,7421.5,True,FVG,True,False,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.003590281508771032,True,False,entry_context_incomplete:missing_displacement,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
NQ,YM,positive,0.0,5m,NY_AM,5m,NY_AM,True,True,929,0.2622,,none,n/a,,,n/a,,,3,,False,none,False,,,False,none,False,False,other,yfinance,provider_backed_same_timeframe_aligned_candles_fail_closed,0.0,recent_positive_correlation_unstable,confirmation_only,False,,,False,event_time_missing_from_provider_candles,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
EURUSD,GBPUSD,positive,0.7889,15m,London_NY_overlap,15m,London_NY_overlap,True,True,434,0.7889,2026-05-06T07:30:00+00:00,bullish_smt,LL,2026-05-06T07:30:00+00:00,1.1728830337524414,HL,2026-05-06T07:15:00+00:00,1.3584741353988647,3,1,True,sell_side_liquidity,False,HL,1.3584741353988647,True,FVG,True,True,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.004714787803556571,True,True,,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
EURUSD,GBPUSD,positive,0.7889,15m,London_NY_overlap,15m,London_NY_overlap,True,True,434,0.7889,2026-05-11T21:15:00+00:00,bearish_smt,HH,2026-05-11T21:15:00+00:00,1.1791062355041504,LH,2026-05-11T21:00:00+00:00,1.3618041276931763,3,1,True,buy_side_liquidity,False,LH,1.3618041276931763,True,session_high_low,False,True,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.0010600481647063105,True,False,entry_context_incomplete:missing_mss_cisd,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
EURUSD,GBPUSD,positive,0.7889,15m,London_NY_overlap,15m,London_NY_overlap,True,True,434,0.7889,2026-05-12T11:00:00+00:00,bullish_smt,LL,2026-05-12T11:00:00+00:00,1.17384672164917,HL,2026-05-12T11:00:00+00:00,1.3523565530776978,3,0,True,sell_side_liquidity,False,HL,1.3523565530776978,True,session_high_low,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.0004701238906365165,True,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
EURUSD,DXY,negative,0.0,15m,London_NY_overlap,15m,London_NY_overlap,True,True,303,-0.9229,,none,n/a,,,n/a,,,3,,False,none,True,,,False,none,False,False,other,yfinance,provider_backed_same_timeframe_aligned_candles_fail_closed,0.0,no_same_event_smt_confirmation_failure_detected,confirmation_only,False,,,False,event_time_missing_from_provider_candles,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-08T07:15:00+00:00,bullish_smt,LL,2026-05-08T07:15:00+00:00,4706.2001953125,HL,2026-05-08T07:15:00+00:00,79.86000061035156,3,0,True,sell_side_liquidity,False,HL,79.86000061035156,True,FVG,False,False,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.003180729088958221,True,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-08T12:30:00+00:00,bullish_smt,LL,2026-05-08T12:30:00+00:00,4709.60009765625,HL,2026-05-08T12:15:00+00:00,80.90499877929688,3,1,True,sell_side_liquidity,False,HL,80.90499877929688,True,FVG,True,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.0038239105145727727,False,False,entry_context_incomplete:missing_displacement,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-11T00:45:00+00:00,bullish_smt,LL,2026-05-11T00:45:00+00:00,4678.39990234375,HL,2026-05-11T01:00:00+00:00,80.05500030517578,3,1,True,sell_side_liquidity,False,HL,80.05500030517578,True,session_high_low,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.0011720831113478955,False,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
