base_symbol,comparison_symbol,relationship_type,timeframe,session,event_time,smt_signal,base_swing_type,comparison_swing_type,base_level,comparison_level,regime_bucket,provider_provenance,branch_path,mss_or_cisd_confirmed,displacement_confirmed,pda_entry_model_confirmed,actionable,forward_return_3_bars,directional_hit_3_bars,forward_return_6_bars,directional_hit_6_bars,forward_return_12_bars,directional_hit_12_bars
BTC,ETH,positive,1h,crypto_24x7,2026-03-15T17:00:00+00:00,bearish_smt,HH,LH,71987.2890625,2117.396728515625,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0009633439,1,0.0135032380,0,0.0325335487,0
BTC,ETH,positive,1h,crypto_24x7,2026-03-17T10:00:00+00:00,bullish_smt,LL,HL,73614.75,2307.620361328125,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0007063231,0,0.0056920207,1,0.0079964460,1
BTC,ETH,positive,1h,crypto_24x7,2026-03-19T21:00:00+00:00,bearish_smt,HH,LH,70695.4375,2156.0771484375,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0035979185,1,0.0037216139,0,0.0011118179,0
BTC,ETH,positive,1h,crypto_24x7,2026-03-20T04:00:00+00:00,bearish_smt,HH,LH,70939.7734375,2158.4345703125,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0010253312,0,-0.0025267957,1,-0.0130391446,1
BTC,ETH,positive,1h,crypto_24x7,2026-03-27T04:00:00+00:00,bullish_smt,LL,HL,68269.15625,2043.33984375,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0018098870,0,-0.0300071488,0,-0.0380643886,0
BTC,ETH,positive,1h,crypto_24x7,2026-03-27T18:00:00+00:00,bullish_smt,LL,HL,65539.1875,1973.5860595703125,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0030463734,1,0.0082467231,1,0.0080766693,1
BTC,ETH,positive,1h,crypto_24x7,2026-03-29T03:00:00+00:00,bearish_smt,HH,LH,67000.8125,2015.5404052734375,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0024256097,1,-0.0041725955,1,-0.0057463903,1
BTC,ETH,positive,1h,crypto_24x7,2026-04-01T13:00:00+00:00,bullish_smt,LL,HL,67969.1171875,2110.518310546875,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0093728374,1,-0.0000254479,0,-0.0121083680,0
BTC,ETH,positive,1h,crypto_24x7,2026-04-02T00:00:00+00:00,bearish_smt,HH,LH,68633.1484375,2158.142822265625,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0294516700,1,-0.0284179104,1,-0.0372984932,1
BTC,ETH,positive,1h,crypto_24x7,2026-04-07T02:00:00+00:00,bullish_smt,LL,HL,68286.8046875,2094.010009765625,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0006544105,0,0.0040284018,1,-0.0109507952,0
