ts,open,high,low,close,volume,wap,count
2025-05-09T08:00:00+00:00,489.42,489.58,488.54,488.92,40730.0,489.184,270
2025-05-09T09:00:00+00:00,488.95,489.57,488.95,489.57,22918.0,489.25,143
2025-05-09T10:00:00+00:00,489.6,490.47,489.6,490.22,57666.0,490.228,275
2025-05-09T11:00:00+00:00,490.27,492.0,488.28,489.8,333959.0,489.775,1626
2025-05-09T12:00:00+00:00,490.22,490.85,487.92,490.36,356438.0,489.889,1381
2025-05-09T13:00:00+00:00,490.33,491.54,489.72,490.91,2260650.0,490.634,11015
2025-05-09T14:00:00+00:00,490.86,491.4,486.19,488.2,4183538.0,488.418,18465
2025-05-09T15:00:00+00:00,488.2,489.0,487.19,488.82,2377807.0,488.251,12152
2025-05-09T16:00:00+00:00,488.91,488.96,486.54,486.91,1763848.0,487.382,8033
2025-05-09T17:00:00+00:00,486.87,488.65,486.26,488.51,1723701.0,487.479,8967
2025-05-09T18:00:00+00:00,488.48,488.6,487.43,488.15,1252572.0,488.053,5793
2025-05-09T19:00:00+00:00,488.16,489.21,487.83,488.05,3303245.0,488.42,15550
2025-05-09T20:00:00+00:00,488.07,488.35,487.69,488.23,829347.0,487.99,2067
2025-05-09T21:00:00+00:00,488.16,488.25,487.85,487.97,39739.0,488.051,149
2025-05-09T22:00:00+00:00,487.9,488.39,487.9,488.06,25756.0,488.185,98
2025-05-09T23:00:00+00:00,488.04,488.09,487.66,487.92,37632.0,487.91,129
2025-05-12T08:00:00+00:00,497.33,506.5,496.33,506.0,349068.0,504.939,1886
2025-05-12T09:00:00+00:00,506.05,506.92,505.97,506.76,159422.0,506.562,895
2025-05-12T10:00:00+00:00,506.74,508.55,506.23,508.4,326491.0,507.424,1630
2025-05-12T11:00:00+00:00,508.28,508.85,506.14,506.91,531496.0,507.464,2805
2025-05-12T12:00:00+00:00,507.66,508.67,487.6,506.95,819374.0,506.322,2853
2025-05-12T13:00:00+00:00,506.92,507.48,502.78,503.8,5812827.0,504.754,31263
2025-05-12T14:00:00+00:00,503.83,505.32,501.48,503.41,4873340.0,503.728,24980
2025-05-12T15:00:00+00:00,503.45,504.28,503.03,503.31,2311557.0,503.698,12659
2025-05-12T16:00:00+00:00,503.33,506.17,503.13,506.01,2444169.0,504.907,11824
2025-05-12T17:00:00+00:00,506.06,507.38,505.89,506.76,2595334.0,506.701,12429
