date,channel_id,message_id,y,text_len,upper_token_count,ticker_like_count,number_count,has_pump,has_buy,has_sell,has_signal,has_exchange
2017-06-15 12:36:32+00:00,1129810706,2,0,4,0,0,0,0,0,0,1,0
2017-06-15 12:43:16+00:00,1129810706,3,0,1,0,0,0,0,0,0,0,0
2017-06-15 12:59:21+00:00,1129810706,4,0,10,0,0,0,0,0,0,0,0
2017-06-15 17:27:43+00:00,1129810706,5,0,22,0,0,0,0,0,0,0,0
2017-06-15 17:28:48+00:00,1129810706,6,0,3,0,0,0,0,0,0,0,0
2017-06-15 17:28:55+00:00,1129810706,7,0,1,0,0,0,0,0,0,0,0
2017-06-15 17:30:46+00:00,1129810706,8,0,31,1,1,7,0,0,0,0,0
2017-06-15 18:42:01+00:00,1129810706,10,0,1,0,0,1,0,0,0,0,0
2017-06-16 05:06:45+00:00,1129810706,11,0,3,0,0,0,0,0,0,0,0
2017-06-16 05:13:08+00:00,1129810706,12,0,24,16,16,8,0,0,0,0,0
2017-06-16 06:50:36+00:00,1129810706,13,0,25,5,5,0,0,1,0,0,0
2017-06-16 06:54:46+00:00,1129810706,14,0,18,1,1,1,0,0,0,0,0
2017-06-16 06:55:32+00:00,1129810706,15,0,0,0,0,0,0,0,0,0,0
2017-06-16 18:14:51+00:00,1129810706,16,0,4,0,0,0,0,0,0,0,0
2017-06-16 18:15:11+00:00,1129810706,17,0,4,0,0,1,0,0,0,0,0
2017-06-17 01:00:13+00:00,1129810706,18,1,5,2,2,2,0,1,1,0,0
2017-06-17 01:00:29+00:00,1129810706,19,0,2,0,0,0,0,0,0,0,0
2017-06-17 01:26:54+00:00,1129810706,20,0,4,0,0,0,0,0,0,0,0
2017-06-17 01:48:04+00:00,1129810706,21,0,3,0,0,0,0,0,0,0,0
2017-06-17 11:25:02+00:00,1129810706,23,0,3,0,0,0,0,0,1,0,0
2017-06-18 07:19:43+00:00,1129810706,24,0,7,0,0,0,0,0,0,0,0
2017-06-18 10:59:28+00:00,1129810706,25,1,5,0,0,0,0,1,0,0,0
2017-06-18 11:01:06+00:00,1129810706,27,1,11,0,0,3,0,1,0,0,0
2017-06-18 11:01:14+00:00,1129810706,28,0,1,0,0,1,0,0,0,0,0
2017-06-19 05:16:48+00:00,1129810706,29,0,6,0,0,0,0,0,0,0,0
