rank,feature,direction,threshold,cal_lcb,test_lcb,cal_support,test_support,cal_coverage,test_coverage,accepted_95
1,sentiment_mean_24h,le,0.16547428315412963,0.9376516514875128,0.8155942250339645,1497,794,0.2088157344120519,0.11075463802482913,False
2,sentiment_mean_24h,le,0.15744665467627456,0.9287186813698431,0.7925586919321047,1152,647,0.1606918677639838,0.09024968614869577,False
3,users_delta_6h,ge,1.8029120914403132,0.9194914748636974,0.34254856124540306,1607,1115,0.22415957595201563,0.1555307574278142,False
4,tweets_delta_6h,ge,1.8301633045148895,0.9147348444101131,0.3422491884015309,1606,1189,0.2240200864834705,0.16585297810015343,False
5,users_delta_6h,ge,1.6685561798683977,0.9208223117700259,0.34071980466190444,1703,1214,0.2375505649323476,0.16934021481378156,False
6,tweets_delta_6h,ge,2.0125470306465774,0.9105333742943506,0.33464817614148246,1457,1049,0.2032361556702469,0.14632445250383597,False
7,users_ratio_6h,ge,1.1912605526338194,0.8942464241121941,0.32097690864280265,1446,1045,0.20170177151625052,0.14576649462965546,False
8,users_delta_6h,ge,1.3288713715574727,0.918705504490686,0.32065947071372813,1965,1583,0.27409680569117034,0.22081182870693264,False
9,users_delta_6h,ge,2.175482443244247,0.9183639750340896,0.319498267394209,1303,927,0.18175477751429767,0.12930673734133072,False
10,tweets_delta_6h,ge,1.4693514627889774,0.9160384065433225,0.3179757456519237,1915,1584,0.2671223322639141,0.22095131817547775,False
11,tweets_current,ge,13.0,0.9409254281527877,0.3149731245263281,2379,2707,0.331845445668852,0.37759799135165295,False
12,tweets_delta_6h,ge,2.3324494949494943,0.9187976916929006,0.31413275988345196,1215,903,0.16947970428232667,0.12595899009624772,False
13,tweets_ratio_6h,ge,1.1935919055649242,0.8822713789368418,0.3072953471684511,1380,1019,0.1924954665922723,0.14213976844748222,False
14,tweets_ratio_6h,ge,1.1035395212883778,0.8724218573525726,0.3052533257025281,2258,1937,0.3149672199748919,0.2701911005719068,False
15,users_delta_6h,ge,1.0384280040042624,0.9203520809787438,0.30078280751040465,2236,1885,0.31189845166689917,0.2629376482075603,False
16,tweets_delta_6h,ge,1.1367380839378938,0.9173397343959441,0.29865518463336677,2180,1895,0.3040870414283722,0.26433254289301156,False
17,tweets_current,ge,11.0,0.9301772431110701,0.2973692891547426,3182,3645,0.44385548891058724,0.5084391128469801,False
18,tweets_delta_6h,ge,0.639531609718933,0.9173798341764701,0.29063045459611114,2622,2433,0.36574138652531735,0.33937787697028876,False
19,users_current,ge,10.0,0.9292253143097514,0.2890860884555233,3365,3880,0.4693820616543451,0.5412191379550844,False
20,tweets_current,ge,10.0,0.9276809349637352,0.2876603167818817,3631,4140,0.5064862602873483,0.5774863997768168,False
21,users_delta_6h,ge,0.5887782079123784,0.9184435077966775,0.2851492308764762,2604,2367,0.3632305760915051,0.3301715720463105,False
22,users_current,ge,9.0,0.926005929620392,0.2816800899338029,3878,4449,0.5409401590179942,0.6205886455572605,False
23,tweets_current,ge,9.0,0.9234487747286417,0.2815977790188628,4107,4662,0.5728832473148278,0.650299902357372,False
24,tweets_current,ge,8.0,0.9195079081324812,0.2799406435446386,4664,5189,0.6505788812944623,0.7238108522806528,False
25,users_current,ge,8.0,0.9239749277595333,0.2798134689602418,4427,5013,0.6175198772492677,0.6992607058167108,False
26,users_current,ge,7.0,0.9158033987231725,0.27709791586734844,4944,5482,0.6896359324870972,0.7646812665643744,False
27,users_ratio_6h,ge,1.239054180230651,0.9455537812159164,0.2766428170858014,1013,851,0.14130283163621146,0.11870553773190125,False
28,tweets_ratio_6h,ge,1.2403012352720062,0.9323052774409814,0.26445012735107426,931,825,0.12986469521551122,0.115078811549728,False
29,tweets_mean_1h,ge,8.934426229508198,0.9531504809437022,0.25542697302989326,4887,5059,0.6816850327800251,0.7056772213697866,False
30,tweets_mean_6h,ge,8.880555555555556,0.9262851753808374,0.25358274068695374,5166,5346,0.7206025945041149,0.7457106988422374,False
31,tweets_mean_6h,ge,9.598337950138504,0.9454082705971983,0.25335906679550707,4621,4807,0.6445808341470219,0.6705258752964152,False
32,tweets_mean_1h,ge,9.836065573770492,0.9551227201574276,0.2523422466755825,4387,4397,0.6119402985074627,0.613335193192914,False
33,users_mean_6h,ge,8.244444444444444,0.9266387659305974,0.2523106114491932,5191,5365,0.7240898312177431,0.7483609987445948,False
34,users_mean_1h,ge,8.21311475409836,0.9499265534632376,0.2500456049838031,4997,5210,0.6970288743199888,0.7267401311201004,False
35,users_mean_6h,ge,9.002777777777778,0.9406467573872224,0.24880330679274518,4589,4808,0.6401171711535779,0.6706653647649602,False
36,users_mean_1h,ge,9.21311475409836,0.9537045363274044,0.2465514279809112,4368,4448,0.6092899986051054,0.6204491560887153,False
37,tweets_mean_1h,ge,8.147540983606557,0.9362259221397604,0.24458685074970923,5463,5697,0.762030966662017,0.7946715023015762,False
38,tweets_mean_6h,ge,8.269444444444444,0.9273134529840497,0.241880460105749,5485,5829,0.7650997349700097,0.8130841121495327,False
39,users_delta_6h,ge,2.94078456914614,0.9904311066007576,0.24109115507085332,758,708,0.10573301715720464,0.09875854372994838,False
40,users_mean_1h,ge,7.508196721311475,0.9274531117834345,0.24101457314623148,5539,5793,0.7726321662714465,0.8080624912819082,False
41,tweets_mean_1h,ge,7.836065573770492,0.9262663410238164,0.23953909664306441,5606,5857,0.7819779606639699,0.8169898172687962,False
42,users_mean_6h,ge,7.590027700831025,0.9240364479376427,0.23760297148500023,5565,5962,0.7762588924536198,0.8316362114660343,False
43,tweets_mean_6h,ge,7.935933147632312,0.9243711128692601,0.23519232573470342,5659,6031,0.7893709024968615,0.8412609847956479,False
44,tweets_delta_6h,ge,3.156803995006242,0.989759282551282,0.23399868508730393,708,709,0.09875854372994838,0.09889803319849351,False
45,users_mean_1h,ge,7.114754098360656,0.9220452355597902,0.23359905601147066,5691,6030,0.7938345654903055,0.8411214953271028,False
46,users_mean_24h,ge,5.168547249647391,0.8943701029694592,0.23239795406182612,6048,6204,0.8436323057609151,0.8653926628539546,False
47,users_mean_24h,ge,4.9780453257790365,0.8943701029694592,0.23239795406182612,6048,6204,0.8436323057609151,0.8653926628539546,False
48,tweets_mean_24h,ge,5.486013986013986,0.8943701029694592,0.23239795406182612,6048,6204,0.8436323057609151,0.8653926628539546,False
49,users_mean_24h,ge,5.527758257203092,0.8943353173223951,0.23239795406182612,6046,6204,0.8433533268238248,0.8653926628539546,False
50,tweets_mean_24h,ge,5.811929824561403,0.8943353173223951,0.23239795406182612,6046,6204,0.8433533268238248,0.8653926628539546,False
