provider,symbol,exchange_symbol,timeframe,exchange_interval,start,end,raw_csv,raw_committed,returncode,stdout,stderr,runtime_code_changed,thresholds_relaxed,trade_usable,status,reason,rows,first_ts,last_ts
binance_public,BTC,BTCUSDT,1m,1m,2026-05-03,2026-05-10,/private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_1m.csv,False,0,"binance spot BTCUSDT 1m: 10,081 rows (2026-05-03 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_1m.csv",,False,False,False,ok,,10081,2026-05-03 00:00:00+00:00,2026-05-10 00:00:00+00:00
binance_public,BTC,BTCUSDT,5m,5m,2026-04-10,2026-05-10,/private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_5m.csv,False,0,"binance spot BTCUSDT 5m: 8,641 rows (2026-04-10 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_5m.csv",,False,False,False,ok,,8641,2026-04-10 00:00:00+00:00,2026-05-10 00:00:00+00:00
binance_public,BTC,BTCUSDT,15m,15m,2026-04-01,2026-05-10,/private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_15m.csv,False,0,"binance spot BTCUSDT 15m: 3,745 rows (2026-04-01 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_15m.csv",,False,False,False,ok,,3745,2026-04-01 00:00:00+00:00,2026-05-10 00:00:00+00:00
binance_public,BTC,BTCUSDT,30m,30m,2026-04-01,2026-05-10,/private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_30m.csv,False,0,"binance spot BTCUSDT 30m: 1,873 rows (2026-04-01 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_30m.csv",,False,False,False,ok,,1873,2026-04-01 00:00:00+00:00,2026-05-10 00:00:00+00:00
binance_public,BTC,BTCUSDT,1h,1h,2026-04-01,2026-05-10,/private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_1h.csv,False,0,binance spot BTCUSDT 1h: 937 rows (2026-04-01 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_1h.csv,,False,False,False,ok,,937,2026-04-01 00:00:00+00:00,2026-05-10 00:00:00+00:00
binance_public,BTC,BTCUSDT,4h,4h,2025-05-10,2026-05-10,/private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_4h.csv,False,0,"binance spot BTCUSDT 4h: 2,191 rows (2025-05-10 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_4h.csv",,False,False,False,ok,,2191,2025-05-10 00:00:00+00:00,2026-05-10 00:00:00+00:00
binance_public,BTC,BTCUSDT,1d,1d,2024-05-10,2026-05-10,/private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_1d.csv,False,0,binance spot BTCUSDT 1d: 731 rows (2024-05-10 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_1d.csv,,False,False,False,ok,,731,2024-05-10 00:00:00+00:00,2026-05-10 00:00:00+00:00
binance_public,BTC,BTCUSDT,1w,1w,2021-05-10,2026-05-10,/private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_1w.csv,False,0,binance spot BTCUSDT 1w: 261 rows (2021-05-10 00:00:00+00:00 -> 2026-05-04 00:00:00+00:00) -> /private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_1w.csv,,False,False,False,ok,,261,2021-05-10 00:00:00+00:00,2026-05-04 00:00:00+00:00
binance_public,BTC,BTCUSDT,1mo,1M,2021-05-10,2026-05-10,/private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_1mo.csv,False,0,binance spot BTCUSDT 1M: 60 rows (2021-06-01 00:00:00+00:00 -> 2026-05-01 00:00:00+00:00) -> /private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/BTCUSDT_1mo.csv,,False,False,False,ok,,60,2021-06-01 00:00:00+00:00,2026-05-01 00:00:00+00:00
binance_public,ETH,ETHUSDT,1m,1m,2026-05-03,2026-05-10,/private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/ETHUSDT_1m.csv,False,0,"binance spot ETHUSDT 1m: 10,081 rows (2026-05-03 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/ETHUSDT_1m.csv",,False,False,False,ok,,10081,2026-05-03 00:00:00+00:00,2026-05-10 00:00:00+00:00
binance_public,ETH,ETHUSDT,5m,5m,2026-04-10,2026-05-10,/private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/ETHUSDT_5m.csv,False,0,"binance spot ETHUSDT 5m: 8,641 rows (2026-04-10 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/ETHUSDT_5m.csv",,False,False,False,ok,,8641,2026-04-10 00:00:00+00:00,2026-05-10 00:00:00+00:00
binance_public,ETH,ETHUSDT,15m,15m,2026-04-01,2026-05-10,/private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/ETHUSDT_15m.csv,False,0,"binance spot ETHUSDT 15m: 3,745 rows (2026-04-01 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/ETHUSDT_15m.csv",,False,False,False,ok,,3745,2026-04-01 00:00:00+00:00,2026-05-10 00:00:00+00:00
binance_public,ETH,ETHUSDT,30m,30m,2026-04-01,2026-05-10,/private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/ETHUSDT_30m.csv,False,0,"binance spot ETHUSDT 30m: 1,873 rows (2026-04-01 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-binance-bybit-public-matrix-20260511T073000/binance_public/ETHUSDT_30m.csv",,False,False,False,ok,,1873,2026-04-01 00:00:00+00:00,2026-05-10 00:00:00+00:00
