provider,symbol,timeframe,data_status,any_existing_packet_overlap,matched_roots,full_main_roots_attached,bull_source_status,bear_source_status,sideways_source_status,crisis_source_status,manipulation_overlay_status,unsupported_reason
yfinance,CL=F,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,DIA,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,ES=F,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,GC=F,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,GLD,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,NQ=F,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,QQQ,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,SPY,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,USO,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,YM=F,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,^DJI,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,^GSPC,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,^NDX,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,^VIX,1m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,CL=F,5m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,DIA,5m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,ES=F,5m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,GC=F,5m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,GLD,5m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,NQ=F,5m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,QQQ,5m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,SPY,5m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,USO,5m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,YM=F,5m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
yfinance,^DJI,5m,ok,False,,False,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,unsupported_no_existing_accepted_packet_for_symbol_timeframe,not_applicable_to_bar_ohlcv_cell,no accepted source packet overlaps this symbol/timeframe
