event_id,instrument_or_asset,venue_or_chain,event_start,event_end,is_manipulation_positive,manipulation_type,negative_control_type,source_id,source_url_or_private_ref
EtherDelta:0x48332867933b2d06e1fe38923f8501dcf3b2d3c6e21d012b562a510a5417a5e9,0xac709fcb44a43c35f0da4e3163b117a17f3770f5/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-09T23:56:45Z,2017-02-09T23:56:46Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xa9672e084623dc022479d8164208b4ea92e7be321014e82ba3588bf001433cc5,0xac709fcb44a43c35f0da4e3163b117a17f3770f5/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-10T01:49:35Z,2017-02-10T01:49:36Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x3db87f8a18ce66e3d0745268b68462bca0fc49bee3eada07c2f578812fc497b3,0x0000000000000000000000000000000000000000/0xac709fcb44a43c35f0da4e3163b117a17f3770f5,EtherDelta/Ethereum,2017-02-10T06:59:16Z,2017-02-10T06:59:17Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x42c92f87034a1819238cd62dc124e01af6a5f2ce4feb7535fd6890519b642023,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-10T17:06:59Z,2017-02-10T17:07:00Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x0c7d0a9212966070a6f342697b1e0eda4058ec35a2c0423502f92a181d6512e8,0xac709fcb44a43c35f0da4e3163b117a17f3770f5/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-10T17:44:12Z,2017-02-10T17:44:13Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x1f2990b8fe24364a5e9381a12f66e419ce8bb7115425fcffb6aff7e240379505,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-10T19:31:40Z,2017-02-10T19:31:41Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x5854f654f30a964b3a8c09dd6181e310feff3edd80cb994e59ee81e09c76729a,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-11T19:00:11Z,2017-02-11T19:00:12Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x3c4d587783baf71f1235a749f287ed078acbfe8db2e7f40701924de008bd207a,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-11T19:00:59Z,2017-02-11T19:01:00Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xe528058d68ae6e5a73adb9adbf6ab1d4974427fe459adfb7b39caf2d8455815b,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-11T19:03:24Z,2017-02-11T19:03:25Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x6cf7ea377ed436930e907cc001c30e27cea95e0f23add16084542501042ef82b,0x0000000000000000000000000000000000000000/0xd8912c10681d8b21fd3742244f44658dba12264e,EtherDelta/Ethereum,2017-02-11T23:14:32Z,2017-02-11T23:14:33Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x2774917fcd21ec3ccd18bb3cdd2724986785ebecd9c1460597ecac27558c59e9,0x0000000000000000000000000000000000000000/0xd8912c10681d8b21fd3742244f44658dba12264e,EtherDelta/Ethereum,2017-02-11T23:15:55Z,2017-02-11T23:15:56Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
