provider,instrument,timeframe,root,source_ticker,candidate_relation,tracking_relation_pass,source_root_support_pass,accepted_95_crosswalk_source_attachment,blocker
yfinance,DIA,15m,Bear,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,15m,Bull,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,15m,Sideways,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,1h,Bear,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,1h,Bull,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,1h,Sideways,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,1m,Bear,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,1m,Bull,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,1m,Sideways,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,30m,Bear,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,30m,Bull,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,30m,Sideways,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,4h,Bear,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,4h,Bull,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,4h,Sideways,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,5m,Bear,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,5m,Bull,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,DIA,5m,Sideways,^DJI,index_etf_tracks_dow,True,True,True,
yfinance,SPY,15m,Bear,^GSPC,index_etf_tracks_sp500,True,True,True,
yfinance,SPY,15m,Bull,^GSPC,index_etf_tracks_sp500,True,True,True,
yfinance,SPY,15m,Sideways,^GSPC,index_etf_tracks_sp500,True,True,True,
yfinance,SPY,1h,Bear,^GSPC,index_etf_tracks_sp500,True,True,True,
yfinance,SPY,1h,Bull,^GSPC,index_etf_tracks_sp500,True,True,True,
yfinance,SPY,1h,Sideways,^GSPC,index_etf_tracks_sp500,True,True,True,
yfinance,SPY,1m,Bear,^GSPC,index_etf_tracks_sp500,True,True,True,
yfinance,SPY,1m,Bull,^GSPC,index_etf_tracks_sp500,True,True,True,
yfinance,SPY,1m,Sideways,^GSPC,index_etf_tracks_sp500,True,True,True,
yfinance,SPY,30m,Bear,^GSPC,index_etf_tracks_sp500,True,True,True,
yfinance,SPY,30m,Bull,^GSPC,index_etf_tracks_sp500,True,True,True,
yfinance,SPY,30m,Sideways,^GSPC,index_etf_tracks_sp500,True,True,True,
yfinance,SPY,4h,Bear,^GSPC,index_etf_tracks_sp500,True,True,True,
