ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
kaushalnandania/crypto-data-2014-2026,Top 50 Cryptocurrency Data (2014 - 2026),8925801,2026-02-17 08:59:51,708,26,1.0
krupalpatel07/bitcoin-market-microstructure-dataset,Bitcoin Historical Dataset,116169,2026-03-07 06:01:29,35,5,1.0
darkmatternet/daily-crypto-market-tracker,Daily Crypto Market Tracker CoinGecko,33338,2026-05-10 22:27:46,54,13,0.9411765
kanchana1990/algorithmic-trading-macro-stress-and-asset-regimes,Algorithmic Trading: Macro Stress & Asset Regimes,382546,2026-02-25 04:11:37.147000,354,35,1.0
kaushiksuresh147/india-wants-crypto-tweets,#IndiaWantsCrypto tweets,4550830,2022-03-03 21:51:11,242,14,1.0
sergionefedov/crypto-microstructure,"Crypto Microstructure 10 assets, 3 years ",973212,2026-03-17 15:13:07,30,3,0.9411765
meruvakodandasuraj/cryptocurrency-market-intelligence-2018-2026,Cryptocurrency Market Intelligence 2018-2026,191447,2026-05-01 10:56:50.413000,13,1,0.7058824
ranodipghosh/top-50-crypto-market-data-daily-usd,"Top 50 Crypto Market Data (Daily, USD)",5050,2026-01-24 17:37:58.133000,682,34,0.9411765
denisgorobets/cryptocurrency-real-time-market-data-bybit,Cryptocurrency Real-Time Market Data - Bybit,3926042444,2025-12-21 18:25:33,36,0,0.8235294
toocool69/synthetic-stock-price-data-1m-instances,Synthetic Stock Price Data (1M instances),40833341,2025-11-25 16:56:47,9,0,0.9411765
quantiota/ska-engine-applied-to-crypto-from-binance,SKA Engine applied to Crypto from Binance,31538507,2026-04-08 07:39:03.617000,0,0,0.8235294
thisathdamiru/bybit-multi-crypto-historical-data-2020-2026,Bybit Full-Lifetime Multi-Crypto Historical Data,18264837966,2026-05-09 10:41:59.257000,116,1,0.7647059
