parent_regime_root,variant_id,fold,trades,net_return_R,mean_R
Bull,baseline,2011_2014,110,0.018159349130409598,0.0001650849920946327
Bull,baseline,2015_2018,113,0.09647986369302362,0.0008538041034780851
Bull,baseline,2019_2021,107,0.13079183715238177,0.0012223536182465586
Bull,baseline,2022_2023,25,0.041022565536246725,0.001640902621449869
Bull,baseline,2024_2025,0,0.0,0.0
Bull,tight_trail,2011_2014,154,-0.08176783271816915,-0.000530959952715384
Bull,tight_trail,2015_2018,162,0.04417615906825641,0.00027269233992750866
Bull,tight_trail,2019_2021,113,0.13764486687453667,0.001218096167031298
Bull,tight_trail,2022_2023,8,-0.0013779942359029747,-0.00017224927948787183
Bull,tight_trail,2024_2025,0,0.0,0.0
Bull,dense_session,2011_2014,200,-0.08516585824252557,-0.0004258292912126278
Bull,dense_session,2015_2018,225,0.11337833603258499,0.0005039037157003778
Bull,dense_session,2019_2021,141,0.1549631133042932,0.0010990291723708737
Bull,dense_session,2022_2023,24,0.013822577112632316,0.0005759407130263465
Bull,dense_session,2024_2025,0,0.0,0.0
Bull,conservative_trend,2011_2014,116,-0.011610550743318657,-0.00010009095468378153
Bull,conservative_trend,2015_2018,111,0.0685987500424778,0.0006180067571394396
Bull,conservative_trend,2019_2021,88,0.12982856674023693,0.001475324622048147
Bull,conservative_trend,2022_2023,16,0.029266006285002467,0.0018291253928126542
Bull,conservative_trend,2024_2025,0,0.0,0.0
Bull,loose_crisis,2011_2014,211,0.06316954148440955,0.0002993817131962538
Bull,loose_crisis,2015_2018,229,0.18909046459588405,0.0008257225528204543
Bull,loose_crisis,2019_2021,203,0.3726439734999955,0.0018356845985221454
Bull,loose_crisis,2022_2023,77,0.10693610403056907,0.0013887805718255722
Bull,loose_crisis,2024_2025,76,0.051629012677604606,0.0006793291141790079
Bull,bear_sideways_dense,2011_2014,342,-0.036692979883600235,-0.00010728941486432818
Bull,bear_sideways_dense,2015_2018,355,0.20233220419128928,0.0005699498709613783
