coin,ticker,positive_events,control_events,download_rows,price_start,price_end,reconstructed_rows
BTC,BTC-USD,8957,8936,471,2017-05-01,2018-08-14,17893
ADA,ADA-USD,504,504,279,2017-11-09,2018-08-14,817
XRP,XRP-USD,480,480,279,2017-11-09,2018-08-14,707
ETC,ETC-USD,427,427,279,2017-11-09,2018-08-14,710
SC,SC-USD,425,425,279,2017-11-09,2018-08-14,745
NEO,NEO-USD,415,415,279,2017-11-09,2018-08-14,554
DGB,DGB-USD,378,378,279,2017-11-09,2018-08-14,542
LSK,LSK-USD,372,372,279,2017-11-09,2018-08-14,631
TRX,TRX-USD,369,369,279,2017-11-09,2018-08-14,721
WAVES,WAVES-USD,340,340,279,2017-11-09,2018-08-14,554
OMG,OMG-USD,338,338,279,2017-11-09,2018-08-14,501
STORJ,STORJ-USD,329,329,279,2017-11-09,2018-08-14,590
ETH,ETH-USD,320,320,279,2017-11-09,2018-08-14,521
XLM,XLM-USD,301,301,279,2017-11-09,2018-08-14,511
BAT,BAT-USD,298,298,279,2017-11-09,2018-08-14,509
XEM,XEM-USD,283,283,279,2017-11-09,2018-08-14,510
