horizon_hours,positive_rows,control_rows,monthly_folds,positive_mean_return,control_mean_return,positive_minus_control_return,positive_minus_control_lcb_5pct,fold_positive_rate_vs_control,gate_result
1,13534,7142,12,0.0005606057066534418,0.0001461411275253318,0.00041446457912810996,-7.650460789578289e-05,0.75,fail:reject_lcb_nonpositive
2,13531,7130,12,0.0006324320189743656,0.00019503539525543592,0.00043739662371892975,-0.00012276239859135708,0.6666666666666666,fail:reject_lcb_nonpositive
3,13516,7130,12,0.00079354571663212,0.0007518455108015247,4.170020583059528e-05,-0.0005863839238295398,0.5833333333333334,fail:reject_lcb_nonpositive|reject_fold_positive_rate_lt60pct
4,13506,7116,12,0.00036582702775192667,0.0011143212164644338,-0.0007484941887125071,-0.0014317488183433983,0.5,fail:reject_positive_underperforms_control|reject_lcb_nonpositive|reject_fold_positive_rate_lt60pct
6,13458,7102,12,0.000954243916234866,0.0018087702985489446,-0.0008545263823140786,-0.00163226202703547,0.4166666666666667,fail:reject_positive_underperforms_control|reject_lcb_nonpositive|reject_fold_positive_rate_lt60pct
8,13469,7102,12,0.0010564736634143803,0.002406763116600733,-0.0013502894531863528,-0.002238803082420516,0.4166666666666667,fail:reject_positive_underperforms_control|reject_lcb_nonpositive|reject_fold_positive_rate_lt60pct
12,13440,7100,12,0.0013784142504731883,0.0037672877514184997,-0.0023888735009453114,-0.0034539228009329236,0.3333333333333333,fail:reject_positive_underperforms_control|reject_lcb_nonpositive|reject_fold_positive_rate_lt60pct
18,13402,7060,12,0.0021537131832909213,0.00584337826452879,-0.003689665081237869,-0.005090491219378641,0.4166666666666667,fail:reject_positive_underperforms_control|reject_lcb_nonpositive|reject_fold_positive_rate_lt60pct
24,13448,7085,12,0.002413987074026229,0.008482392896238172,-0.006068405822211943,-0.0077681897531356025,0.4166666666666667,fail:reject_positive_underperforms_control|reject_lcb_nonpositive|reject_fold_positive_rate_lt60pct
36,13389,7121,12,0.0035365671075035295,0.01556642143508751,-0.01202985432758398,-0.014215058254351431,0.25,fail:reject_positive_underperforms_control|reject_lcb_nonpositive|reject_fold_positive_rate_lt60pct
48,13448,7088,12,0.004027078533643979,0.022205694400329806,-0.018178615866685826,-0.0207219536549422,0.25,fail:reject_positive_underperforms_control|reject_lcb_nonpositive|reject_fold_positive_rate_lt60pct
