schema_version,run_id,recipe_id,parent_regime_root,manipulation_overlay_state,sub_regime_tags,sub_sub_regime_or_profit_factor,profit_factor_family,profit_factor_leaf,regime_profit_branch_path,regime_profit_branch_path_version,trade_or_bar_horizon,allowed_action,suppression_rule,positive_rows,control_rows,monthly_folds,positive_mean_net,control_mean_net,positive_minus_control_net,positive_lcb_5pct,positive_minus_control_lcb_5pct,fold_positive_rate_absolute,fold_positive_rate_vs_control,roundtrip_cost,gate_result
board-b-manipulation-action-surface/v1,20260511T203620+0800-codex-board-b-manipulation-action-surface-v1,ManipulationActionSurfaceV1,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderExitActionSurface,direct_manipulation_action_surface,ManipulationActionSurfaceV1:event_long:1h,Manipulation(scoped) -> TelegramPumpEvent -> ProviderExitLong -> ManipulationActionSurfaceV1:event_long,board-b-manipulation-action-surface/v1,1h,event_long,suppress_or_abstain_if_no_tradeable_action_surface,13534,7142,12,-0.0009393942933465585,-0.0013538588724746684,0.00041446457912810986,-0.0012695537944578722,-7.6504607895783e-05,0.25,0.75,0.0015,fail:reject_no_positive_absolute_edge_after_cost|reject_absolute_lcb_nonpositive|reject_absolute_fold_positive_rate_lt60pct|reject_specificity_lcb_nonpositive
board-b-manipulation-action-surface/v1,20260511T203620+0800-codex-board-b-manipulation-action-surface-v1,ManipulationActionSurfaceV1,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderExitActionSurface,direct_manipulation_action_surface,ManipulationActionSurfaceV1:event_long:2h,Manipulation(scoped) -> TelegramPumpEvent -> ProviderExitLong -> ManipulationActionSurfaceV1:event_long,board-b-manipulation-action-surface/v1,2h,event_long,suppress_or_abstain_if_no_tradeable_action_surface,13531,7130,12,-0.0008675679810256346,-0.0013049646047445644,0.00043739662371892975,-0.0012402257673363635,-0.00012276239859135708,0.4166666666666667,0.6666666666666666,0.0015,fail:reject_no_positive_absolute_edge_after_cost|reject_absolute_lcb_nonpositive|reject_absolute_fold_positive_rate_lt60pct|reject_specificity_lcb_nonpositive
board-b-manipulation-action-surface/v1,20260511T203620+0800-codex-board-b-manipulation-action-surface-v1,ManipulationActionSurfaceV1,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderExitActionSurface,direct_manipulation_action_surface,ManipulationActionSurfaceV1:event_long:3h,Manipulation(scoped) -> TelegramPumpEvent -> ProviderExitLong -> ManipulationActionSurfaceV1:event_long,board-b-manipulation-action-surface/v1,3h,event_long,suppress_or_abstain_if_no_tradeable_action_surface,13516,7130,12,-0.0007064542833678804,-0.0007481544891984756,4.170020583059517e-05,-0.0011262248624434117,-0.0005863839238295399,0.4166666666666667,0.5833333333333334,0.0015,fail:reject_no_positive_absolute_edge_after_cost|reject_absolute_lcb_nonpositive|reject_absolute_fold_positive_rate_lt60pct|reject_specificity_lcb_nonpositive|reject_specificity_fold_rate_lt60pct
board-b-manipulation-action-surface/v1,20260511T203620+0800-codex-board-b-manipulation-action-surface-v1,ManipulationActionSurfaceV1,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderExitActionSurface,direct_manipulation_action_surface,ManipulationActionSurfaceV1:event_long:4h,Manipulation(scoped) -> TelegramPumpEvent -> ProviderExitLong -> ManipulationActionSurfaceV1:event_long,board-b-manipulation-action-surface/v1,4h,event_long,suppress_or_abstain_if_no_tradeable_action_surface,13506,7116,12,-0.0011341729722480738,-0.00038567878353556665,-0.0007484941887125071,-0.0015896428921842955,-0.0014317488183433983,0.3333333333333333,0.5,0.0015,fail:reject_no_positive_absolute_edge_after_cost|reject_absolute_lcb_nonpositive|reject_absolute_fold_positive_rate_lt60pct|reject_no_regime_specificity_vs_controls|reject_specificity_lcb_nonpositive|reject_specificity_fold_rate_lt60pct
board-b-manipulation-action-surface/v1,20260511T203620+0800-codex-board-b-manipulation-action-surface-v1,ManipulationActionSurfaceV1,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderExitActionSurface,direct_manipulation_action_surface,ManipulationActionSurfaceV1:event_long:6h,Manipulation(scoped) -> TelegramPumpEvent -> ProviderExitLong -> ManipulationActionSurfaceV1:event_long,board-b-manipulation-action-surface/v1,6h,event_long,suppress_or_abstain_if_no_tradeable_action_surface,13458,7102,12,-0.0005457560837651345,0.0003087702985489441,-0.0008545263823140786,-0.0010683213960595748,-0.00163226202703547,0.5,0.4166666666666667,0.0015,fail:reject_no_positive_absolute_edge_after_cost|reject_absolute_lcb_nonpositive|reject_absolute_fold_positive_rate_lt60pct|reject_no_regime_specificity_vs_controls|reject_specificity_lcb_nonpositive|reject_specificity_fold_rate_lt60pct
board-b-manipulation-action-surface/v1,20260511T203620+0800-codex-board-b-manipulation-action-surface-v1,ManipulationActionSurfaceV1,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderExitActionSurface,direct_manipulation_action_surface,ManipulationActionSurfaceV1:event_long:8h,Manipulation(scoped) -> TelegramPumpEvent -> ProviderExitLong -> ManipulationActionSurfaceV1:event_long,board-b-manipulation-action-surface/v1,8h,event_long,suppress_or_abstain_if_no_tradeable_action_surface,13469,7102,12,-0.0004435263365856202,0.0009067631166007326,-0.0013502894531863528,-0.0010321841978532642,-0.002238803082420516,0.4166666666666667,0.4166666666666667,0.0015,fail:reject_no_positive_absolute_edge_after_cost|reject_absolute_lcb_nonpositive|reject_absolute_fold_positive_rate_lt60pct|reject_no_regime_specificity_vs_controls|reject_specificity_lcb_nonpositive|reject_specificity_fold_rate_lt60pct
board-b-manipulation-action-surface/v1,20260511T203620+0800-codex-board-b-manipulation-action-surface-v1,ManipulationActionSurfaceV1,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderExitActionSurface,direct_manipulation_action_surface,ManipulationActionSurfaceV1:event_long:12h,Manipulation(scoped) -> TelegramPumpEvent -> ProviderExitLong -> ManipulationActionSurfaceV1:event_long,board-b-manipulation-action-surface/v1,12h,event_long,suppress_or_abstain_if_no_tradeable_action_surface,13440,7100,12,-0.00012158574952681241,0.0022672877514184992,-0.002388873500945312,-0.0008173936153791793,-0.003453922800932924,0.5,0.3333333333333333,0.0015,fail:reject_no_positive_absolute_edge_after_cost|reject_absolute_lcb_nonpositive|reject_absolute_fold_positive_rate_lt60pct|reject_no_regime_specificity_vs_controls|reject_specificity_lcb_nonpositive|reject_specificity_fold_rate_lt60pct
board-b-manipulation-action-surface/v1,20260511T203620+0800-codex-board-b-manipulation-action-surface-v1,ManipulationActionSurfaceV1,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderExitActionSurface,direct_manipulation_action_surface,ManipulationActionSurfaceV1:event_long:18h,Manipulation(scoped) -> TelegramPumpEvent -> ProviderExitLong -> ManipulationActionSurfaceV1:event_long,board-b-manipulation-action-surface/v1,18h,event_long,suppress_or_abstain_if_no_tradeable_action_surface,13402,7060,12,0.0006537131832909206,0.00434337826452879,-0.003689665081237869,-0.00023145680620325802,-0.005090491219378641,0.4166666666666667,0.4166666666666667,0.0015,fail:reject_absolute_lcb_nonpositive|reject_absolute_fold_positive_rate_lt60pct|reject_no_regime_specificity_vs_controls|reject_specificity_lcb_nonpositive|reject_specificity_fold_rate_lt60pct
board-b-manipulation-action-surface/v1,20260511T203620+0800-codex-board-b-manipulation-action-surface-v1,ManipulationActionSurfaceV1,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderExitActionSurface,direct_manipulation_action_surface,ManipulationActionSurfaceV1:event_long:24h,Manipulation(scoped) -> TelegramPumpEvent -> ProviderExitLong -> ManipulationActionSurfaceV1:event_long,board-b-manipulation-action-surface/v1,24h,event_long,suppress_or_abstain_if_no_tradeable_action_surface,13448,7085,12,0.0009139870740262283,0.006982392896238171,-0.0060684058222119424,-0.0001115521673757669,-0.007768189753135602,0.5,0.4166666666666667,0.0015,fail:reject_absolute_lcb_nonpositive|reject_absolute_fold_positive_rate_lt60pct|reject_no_regime_specificity_vs_controls|reject_specificity_lcb_nonpositive|reject_specificity_fold_rate_lt60pct
board-b-manipulation-action-surface/v1,20260511T203620+0800-codex-board-b-manipulation-action-surface-v1,ManipulationActionSurfaceV1,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderExitActionSurface,direct_manipulation_action_surface,ManipulationActionSurfaceV1:event_long:36h,Manipulation(scoped) -> TelegramPumpEvent -> ProviderExitLong -> ManipulationActionSurfaceV1:event_long,board-b-manipulation-action-surface/v1,36h,event_long,suppress_or_abstain_if_no_tradeable_action_surface,13389,7121,12,0.0020365671075035286,0.014066421435087509,-0.01202985432758398,0.0008388012582491414,-0.014215058254351431,0.4166666666666667,0.25,0.0015,fail:reject_absolute_fold_positive_rate_lt60pct|reject_no_regime_specificity_vs_controls|reject_specificity_lcb_nonpositive|reject_specificity_fold_rate_lt60pct
