run_dir,file_count,state,has_md,has_json,has_assertion
20260511T210002-codex-current-goal-completion-audit-v38-after-cftc-control-seed,7,artifact_complete,True,True,True
20260511T210017-codex-current-goal-completion-audit-v37-after-manip-component-pass,3,partial_or_in_progress,True,False,True
20260511T210024-codex-board-b-current-state-completion-audit-v36,2,partial_or_in_progress,True,False,True
20260511T210030-codex-r6-cftc-schema-ready-calibration-gate-v1,6,artifact_complete,True,True,True
20260511T210150-codex-cftc-gandhi-source-row-uplift-v1,5,artifact_complete,True,True,True
20260511T210156-codex-r6-official-cftc-expansion-scout-v1,6,artifact_complete,True,True,True
20260511T210228-codex-r6-additional-cftc-public-order-screen-v1,5,artifact_complete,True,True,True
20260511T210230-codex-r6-cftc-gandhi-calibration-gate-v2,5,artifact_complete,True,True,True
20260511T210411-codex-vantmacro-current-regime-route-screen-v1,6,artifact_complete,True,True,True
20260511T210508-codex-board-b-crypto-liquidity-root-family-v2,3,partial_or_in_progress,True,False,True
20260511T210514-codex-r6-gandhi-expanded-calibration-gate-v1,7,artifact_complete,True,True,True
20260511T210553-codex-r6-after-gandhi-calibration-gate-v1,8,artifact_complete,True,True,True
20260511T210555-codex-r6-cftc-public-order-candidate-uplift-v1,5,artifact_complete,True,True,True
20260511T210620-codex-current-goal-completion-audit-v39-after-gandhi-uplift,7,artifact_complete,True,True,True
20260511T210744-codex-r6-mohan-additional-row-uplift-v1,9,artifact_complete,True,True,True
20260511T210849-codex-vantmacro-source-label-request-draft-v1,1,partial_or_in_progress,False,False,False
20260511T210950-codex-concurrency-safe-intake-snapshot-v1,1,partial_or_in_progress,False,False,False
20260511T211030-codex-current-goal-completion-audit-v40-after-mohan-uplift,0,active_or_empty,False,False,False
20260511T211032-codex-r6-mohan-complaint-expansion-gate-v1,0,active_or_empty,False,False,False
20260511T211050-codex-r6-current-live-intake-calibration-readback-v1,0,active_or_empty,False,False,False
