gate,observed,required,pass
stable_file_hashes,True,True,True
verifier_schema_ready,schema_ready_unscored,schema_ready_unscored,True
positive_support,32,73,False
negative_support,32,73,False
orphan_groups,0,0,True
chronological_train_calibration_test,17,3,True
heldout_symbol_or_venue,symbols=10;venues=5,symbol>=2 or venue>=2,True
wilson95_lcb,0.892821,>=0.95,False
broad_normal_sample,same-source public CFTC genuine-order counterparts,source-owned broad normal activity sample,False
direct_species_coverage,spoofing_layering,spoofing_layering;quote_spoofing;quote_stuffing;pinging;bear_raid;painting_tape,False
