name,cmd,returncode,stdout,stderr,exit
provider_status_agent,/Users/thrill3r/projects-ict-engine/ict-engine/target/debug/ict-engine provider-status --agent,0,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/provider_status_agent.out,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/provider_status_agent.err,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/provider_status_agent.exit
fresh_pre_bayes_status,/Users/thrill3r/projects-ict-engine/ict-engine/target/debug/ict-engine pre-bayes-status --symbol SRC_ROOT_CARRY_LONG_220646 --state-dir /Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/ict-engine-downstream/state_fresh_downstream_v1 --refresh --output-format json,0,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_pre_bayes_status.out,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_pre_bayes_status.err,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_pre_bayes_status.exit
fresh_policy_training_status,/Users/thrill3r/projects-ict-engine/ict-engine/target/debug/ict-engine policy-training-status --symbol SRC_ROOT_CARRY_LONG_220646 --state-dir /Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/ict-engine-downstream/state_fresh_downstream_v1 --output-format json,0,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_policy_training_status.out,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_policy_training_status.err,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_policy_training_status.exit
fresh_export_structural_path_ranking_target,/Users/thrill3r/projects-ict-engine/ict-engine/target/debug/ict-engine export-structural-path-ranking-target --symbol SRC_ROOT_CARRY_LONG_220646 --state-dir /Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/ict-engine-downstream/state_fresh_downstream_v1,0,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_export_structural_path_ranking_target.out,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_export_structural_path_ranking_target.err,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_export_structural_path_ranking_target.exit
fresh_workflow_status_agent,/Users/thrill3r/projects-ict-engine/ict-engine/target/debug/ict-engine workflow-status --symbol SRC_ROOT_CARRY_LONG_220646 --state-dir /Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/ict-engine-downstream/state_fresh_downstream_v1 --agent,0,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_workflow_status_agent.out,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_workflow_status_agent.err,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_workflow_status_agent.exit
fresh_workflow_status_execution_candidate,/Users/thrill3r/projects-ict-engine/ict-engine/target/debug/ict-engine workflow-status --symbol SRC_ROOT_CARRY_LONG_220646 --state-dir /Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/ict-engine-downstream/state_fresh_downstream_v1 --phase execution-candidate --agent,0,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_workflow_status_execution_candidate.out,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_workflow_status_execution_candidate.err,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/fresh_workflow_status_execution_candidate.exit
legacy_pre_bayes_status,/Users/thrill3r/projects-ict-engine/ict-engine/target/debug/ict-engine pre-bayes-status --symbol NQ --state-dir /Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/state --refresh --output-format json,0,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/legacy_pre_bayes_status.out,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/legacy_pre_bayes_status.err,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/legacy_pre_bayes_status.exit
legacy_policy_training_status,/Users/thrill3r/projects-ict-engine/ict-engine/target/debug/ict-engine policy-training-status --symbol NQ --state-dir /Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/state --output-format json,0,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/legacy_policy_training_status.out,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/legacy_policy_training_status.err,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/legacy_policy_training_status.exit
legacy_export_structural_path_ranking_target,/Users/thrill3r/projects-ict-engine/ict-engine/target/debug/ict-engine export-structural-path-ranking-target --symbol NQ --state-dir /Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/state,0,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/legacy_export_structural_path_ranking_target.out,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/legacy_export_structural_path_ranking_target.err,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/legacy_export_structural_path_ranking_target.exit
legacy_workflow_status_agent,/Users/thrill3r/projects-ict-engine/ict-engine/target/debug/ict-engine workflow-status --symbol NQ --state-dir /Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/state --agent,0,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/legacy_workflow_status_agent.out,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/legacy_workflow_status_agent.err,docs/experiments/actionable-regime-confidence/runs/20260511T222237-codex-board-b-220646-downstream-closure-audit-v1/command-output/legacy_workflow_status_agent.exit
