axis,bucket,required_valid_normal_control_support,official_route,date_fit_status,detail_fit_status,decision
contract_family,energy,73,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,controls_not_acquired
contract_family,equity_index,73,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,controls_not_acquired
contract_family,metals,73,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,controls_not_acquired
contract_family,volatility_index,73,cboe_cfe_datashop_or_market_data_support,2014_custom_export_required,public_pages_not_order_lifecycle,controls_not_acquired
venue_exact,CFE/CBOE Futures Exchange,73,cboe_cfe_datashop_or_market_data_support,2014_custom_export_required,public_pages_not_order_lifecycle,controls_not_acquired
venue_exact,CME Globex,73,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,controls_not_acquired
venue_exact,COMEX/CME Globex,73,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,controls_not_acquired
venue_exact,NYMEX/CME Globex,73,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,controls_not_acquired
symbol_exact,Crude Oil futures,73,cme_datamine_market_depth_or_market_by_order,needs_2012_product_start_confirmation,depth_order_lifecycle_route_plausible,controls_not_acquired
symbol_exact,E-mini S&P 500 futures,73,cme_datamine_market_depth_or_market_by_order,needs_2013_product_start_confirmation,depth_order_lifecycle_route_plausible,controls_not_acquired
symbol_exact,High-Grade Copper futures,73,cme_datamine_market_depth_or_market_by_order,needs_2011_product_start_confirmation,depth_order_lifecycle_route_plausible,controls_not_acquired
symbol_exact,Natural Gas futures,73,cme_datamine_market_depth_or_market_by_order,needs_2012_product_start_confirmation,depth_order_lifecycle_route_plausible,controls_not_acquired
symbol_exact,VIX futures,73,cboe_cfe_datashop_or_market_data_support,needs_2014_historical_depth_export_confirmation,public_pages_not_order_lifecycle,controls_not_acquired
chronological_year,2011,73,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,controls_not_acquired
chronological_year,2012,73,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,controls_not_acquired
chronological_year,2013,73,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,controls_not_acquired
chronological_year,2014,73,cme_datamine_market_depth_or_market_by_order_plus_cboe_cfe_custom_export,needs_cfe_depth_export_confirmation,partial_route_fit_controls_not_acquired,controls_not_acquired

