artifact_ref,exists,status,decision
docs/plans/2026-05-10-actionable-regime-confidence-todo.md,true,board_present,authoritative_board
docs/experiments/actionable-regime-confidence/runs/20260512T004322-codex-r6-oystacher-external-control-source-scan-v1,true,current_cursor_root_present,keep_as_active_source_control_cursor
docs/experiments/actionable-regime-confidence/runs/20260512T004322-codex-r6-oystacher-external-control-source-scan-v1/r6-oystacher-external-control-source-scan/r6_oystacher_external_control_source_scan_v1.json,true,current_cursor_artifact_present,usable
docs/experiments/actionable-regime-confidence/runs/20260512T004322-codex-r6-oystacher-external-control-source-scan-v1/r6-oystacher-external-control-source-scan/r6_oystacher_external_control_source_scan_v1.md,true,current_cursor_artifact_present,usable
docs/experiments/actionable-regime-confidence/runs/20260512T004322-codex-r6-oystacher-external-control-source-scan-v1/r6-oystacher-external-control-source-scan/r6_oystacher_external_control_sources_v1.csv,true,current_cursor_artifact_present,usable
docs/experiments/actionable-regime-confidence/runs/20260512T004322-codex-r6-oystacher-external-control-source-scan-v1/r6-oystacher-external-control-source-scan/r6_oystacher_external_fetch_readback_v1.csv,true,current_cursor_artifact_present,usable
docs/experiments/actionable-regime-confidence/runs/20260512T004322-codex-r6-oystacher-external-control-source-scan-v1/checks/r6_oystacher_external_control_source_scan_v1_assertions.out,true,current_cursor_artifact_present,usable
docs/experiments/actionable-regime-confidence/runs/20260512T004116-codex-r6-oystacher-public-normal-control-source-probe-v1,true,supporting_public_probe_root_present,usable
docs/experiments/actionable-regime-confidence/runs/20260512T004116-codex-r6-oystacher-public-normal-control-source-probe-v1/r6-oystacher-public-normal-control-source-probe/r6_oystacher_public_normal_control_source_probe_v1.json,true,supporting_public_probe_artifact_present,usable
docs/experiments/actionable-regime-confidence/runs/20260512T004022-codex-r6-oystacher-source-owner-control-route-v1,true,board_reference_present,usable_for_source_route_context
docs/experiments/actionable-regime-confidence/runs/20260512T003924-codex-r6-oystacher-owner-control-source-route-screen-v1,true,present_route_screen,usable_for_source_route_context
docs/experiments/actionable-regime-confidence/runs/20260512T004410-codex-r6-official-route-date-fit-check-v1,true,present_route_date_fit,usable_for_route_date_fit_context
/tmp/ict-engine-board-a-r6-owner-export-v1,false,owner_export_root_absent,no_canonical_merge
/tmp/ict-engine-direct-manipulation-row-intake,true,shared_live_intake_present,not_mutated_by_this_repair
