file	source	dest	bytes	sha256
BTC_USDT-1h.feather	/Users/thrill3r/Auto-Quant/user_data/data/BTC_USDT-1h.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/BTC_USDT-1h.feather	1383538	5ba0e0b5d0760508a7f865d073b5fc3d9b6486b15d72d389d5087867b997c5ef
BTC_USDT-4h.feather	/Users/thrill3r/Auto-Quant/user_data/data/BTC_USDT-4h.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/BTC_USDT-4h.feather	373354	da9ec6441dac2ee36d12bfcd8113a64147f7df3ead11bbe848d94e06b56acc60
BTC_USDT-1d.feather	/Users/thrill3r/Auto-Quant/user_data/data/BTC_USDT-1d.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/BTC_USDT-1d.feather	71994	eaffd0000ea7d03676ff3916e2f197dedb965375a2f98177c1f22f214ea3b0a6
ETH_USDT-1h.feather	/Users/thrill3r/Auto-Quant/user_data/data/ETH_USDT-1h.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/ETH_USDT-1h.feather	1275634	cd0fe2167568cf06e2f10af0a860598fe0d17ac0b3704e69a38d7eb2339df55b
ETH_USDT-4h.feather	/Users/thrill3r/Auto-Quant/user_data/data/ETH_USDT-4h.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/ETH_USDT-4h.feather	340370	f2fc312408e0fdac0d3414bc8c2ca48e2a93d6f5a6e1735fb54575b89d0aa1c1
ETH_USDT-1d.feather	/Users/thrill3r/Auto-Quant/user_data/data/ETH_USDT-1d.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/ETH_USDT-1d.feather	66298	cb06a899b78fcada91fa6834e63a37838b0f7140b8ef7298a1584f10462793c9
SOL_USDT-1h.feather	/Users/thrill3r/Auto-Quant/user_data/data/SOL_USDT-1h.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/SOL_USDT-1h.feather	1163338	7cdfe8e2c53706ff347627a01d344119570df62fbd62e13bee39c7fc11310c41
SOL_USDT-4h.feather	/Users/thrill3r/Auto-Quant/user_data/data/SOL_USDT-4h.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/SOL_USDT-4h.feather	321738	4f7b3681d9ff35b377ca6817f232df3275fb68950efca278f577d710504235fa
SOL_USDT-1d.feather	/Users/thrill3r/Auto-Quant/user_data/data/SOL_USDT-1d.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/SOL_USDT-1d.feather	64026	7bb67ceb59de47f59da718793d1262f57871ef024f3b107e606de107f59e398f
BNB_USDT-1h.feather	/Users/thrill3r/Auto-Quant/user_data/data/BNB_USDT-1h.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/BNB_USDT-1h.feather	1094658	271aa4440210b810cda0c90116fe072a924bb9e1ca2d89e6e3730b87540090aa
BNB_USDT-4h.feather	/Users/thrill3r/Auto-Quant/user_data/data/BNB_USDT-4h.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/BNB_USDT-4h.feather	307970	a5dbb0fc053e3945e9a8c05d40eaf4ced238786ba8f0f56362a5277d9b56702a
BNB_USDT-1d.feather	/Users/thrill3r/Auto-Quant/user_data/data/BNB_USDT-1d.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/BNB_USDT-1d.feather	62250	a6e4e0db19c9f00571e25dda01be8c672eec5363c9b72068b5089523180f81f8
AVAX_USDT-1h.feather	/Users/thrill3r/Auto-Quant/user_data/data/AVAX_USDT-1h.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/AVAX_USDT-1h.feather	1093578	0deb4a763fdce210341e3a64a36f6093a3f6e9caad1d12e9f34d5478800205c7
AVAX_USDT-4h.feather	/Users/thrill3r/Auto-Quant/user_data/data/AVAX_USDT-4h.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/AVAX_USDT-4h.feather	302554	89517c168f2d2986ae89061724ee4377d660a5b56c0560ed8ed7a4ed6a909079
AVAX_USDT-1d.feather	/Users/thrill3r/Auto-Quant/user_data/data/AVAX_USDT-1d.feather	/tmp/ict-engine-board-a-autoquant-local-crypto-cache-20260512T023351/auto-quant/.deps/auto-quant/user_data/data/AVAX_USDT-1d.feather	61370	853c8de86e3f5db219749b79fedd38e4d7afa703952583df34ba61b227fed24d
