axis,key,count
rows,total,248440
labels,Bull,104979
labels,Sideways,57899
labels,Bear,54939
labels,Crisis,30623
families,us_single_stock,218769
families,us_index,26236
families,india_equity_index,3435
timeframes,1d,248440
splits,calibration,148976
splits,heldout_time,45384
splits,test,27844
splits,heldout_market,26236
owners,source-owned-stock-market-regimes-2000-2026,245005
owners,ahaanverma00,3435
species,source_panel_daily_market_regime_label,245005
species,owner_described_nifty_hmm_market_regime,3435
