path,reason,size_bytes,mtime_utc,sha256,error
/Users/thrill3r/Documents/NinjaTrader 8/EBWebView/component_crx_cache/000ac7dc9366969db9d1e41810a3a27c747a7623535d856eecc2de86cfed80c7,keyword_candidate,1890,2025-09-19T02:34:50+00:00,000ac7dc9366969db9d1e41810a3a27c747a7623535d856eecc2de86cfed80c7,
/Users/thrill3r/Documents/NinjaTrader 8/templates/MarketDataEntitlement/CBOE Market Data Internals.xml,keyword_candidate,890,2024-04-28T21:34:54+00:00,95f4ae9f7a1b3a4f3c3309a2c05f3c9fe0d49e2e448b98890f54c7bddb012cc9,
/Users/thrill3r/Documents/NinjaTrader 8/templates/MarketDataEntitlement/CFE.xml,keyword_candidate,852,2024-04-28T21:34:54+00:00,0141bcc45aacacf1613f25beb6344746b2edee0e62441e03731dde96302f5415,
/Users/thrill3r/Documents/NinjaTrader 8/templates/MarketDataEntitlement/CME Bundle.xml,keyword_candidate,3331,2024-04-28T21:34:54+00:00,6dd3ffb1fe7298b237019cf85463f8243253d4b1bab2d7dc535e02de8be046f6,
/Users/thrill3r/Documents/NinjaTrader 8/templates/MarketDataEntitlement/CME.xml,keyword_candidate,2068,2024-04-28T21:34:54+00:00,1664359e4afcf534b0f08d76479c4bdc64ffcf720a4c5fa5d6b2f8802277bf51,
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CBOE US Index Futures ETH.xml,keyword_candidate,23273,2026-03-13T03:56:58.638286+00:00,38159ac7e26def16c665661a1909e467ee6b5bc5b3299b99cfffb347e3662a39,
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CBOE US Index Futures RTH.xml,keyword_candidate,23268,2026-03-13T03:56:58.647449+00:00,7b8e62149b3de5135f8e3e6f57cf78a044d3405197f48a4e56d7805e128c4fe9,
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CFE FX Futures.xml,keyword_candidate,40081,2026-03-13T03:56:58.768512+00:00,9d9a943f6eb41dfd68df7882b956764bac8032fadcaab88f26d7033a48f8a535,
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Agriculture Dairy ETH.xml,keyword_candidate,30396,2026-03-13T03:56:58.796002+00:00,7de9087fc5c66fd0ceaa72594a300ad71896774d031922d4e4dad912f2a9b263,
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Agriculture Dairy RTH.xml,keyword_candidate,30391,2026-03-13T03:56:58.803824+00:00,62dc1a076dd41005aebc115143f17c2ec867d42cb575dec1959dfa3c83414709,
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Commodities ETH.xml,keyword_candidate,23985,2026-03-13T03:56:58.808977+00:00,b87040fa9667eacb28159566e2aef7e5123f5285764abbc0b3f744e7a2c7c5c5,
