ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
rohit8527kmr7518/online-retail-customer-classification-dataset,Online Retail Customer Segmentation Dataset,3604260,2026-02-23 14:04:39.013000,877,34,1.0
kanchana1990/world-bank-commodity-price-intelligence-19602026,World Bank Commodity Price Intelligence 1960–2026,2231883,2026-03-16 11:22:36.463000,552,44,1.0
niladriroy0/llm-data,"LLM Inference Scaling, Latency Collapse Simulation",9197724,2026-02-21 07:09:14.363000,11,8,1.0
katerynameleshenko/ai-index,AI Global Index,2441,2023-04-26 01:28:59,9965,106,1.0
aishimuskan/people-living-in-democracies-and-autocracies,People living in democracies and autocracies,35887,2026-05-09 06:20:11.017000,7,12,0.9411765
ranodipghosh/top-50-crypto-market-data-daily-usd,"Top 50 Crypto Market Data (Daily, USD)",5050,2026-01-24 17:37:58.133000,682,34,0.9411765
rohit8527kmr7518/chemical-process-monitoring-time-series-dataset,Chemical Process Monitoring Time-Series Dataset,86556455,2026-02-10 14:24:10.883000,436,28,1.0
kanchana1990/central-bank-rates-intelligence-19452026,Central Bank Rates Intelligence 1945–2026,625247,2026-03-18 02:07:33,382,34,1.0
niladriroy0/agro-environmental-dataset,Agro-Environmental Stress & Failure Simulation,16529892,2026-01-29 17:53:26.723000,248,15,1.0
anthonytherrien/gladiator-combat-records-and-profiles-dataset,Gladiator Combat Records and Profiles Dataset,534507,2025-05-05 14:46:46.467000,1324,82,1.0
liamarguedas/brazil-total-highway-crashes-2010-2023,Brazil: Total highway crashes 2010 - 2023,29530564,2023-08-04 13:25:59.847000,1129,26,0.9411765
kanchana1990/bis-global-debt-securities-intelligence-19622025,BIS Global Debt Securities Intelligence 1962–2025,28925723,2026-03-18 19:20:43.603000,182,31,1.0
ibrahimshahrukh/s-and-p-500-historical-data-1980-2026,S&P 500 Historical Daily Prices (1980–2026),941367,2026-02-26 02:30:37.997000,91,13,1.0
moaz1911/strait-of-hormuz-2026-the-great-decoupling,Strait of Hormuz 2026: The Great Decoupling,27473,2026-04-08 15:26:09.873000,95,21,1.0
sergionefedov/crypto-microstructure,"Crypto Microstructure 10 assets, 3 years ",973212,2026-03-17 15:13:07,30,3,0.9411765
georgyzubkov/visa-regime-of-russia,Visa regime of Russia,2084,2022-06-04 06:10:35,136,47,0.9411765
willianoliveiragibin/time-series-prediction,Time Series Prediction,5933,2026-01-20 22:47:54,16,4,1.0
rahulcris07/human-decision-drift-under-cognitive-load,Human Decision Drift Under Cognitive Load,49602255,2026-01-19 20:48:35,111,12,0.9411765
hassanjameelahmed/aramco-stock-2019-2025,Aramco-Stock-2019-2025,33045,2026-02-14 05:38:30.307000,49,11,1.0
ahaanverma00/nifty-500-market-and-behavior-regime-dataset,NIFTY 500 Market & Behavior Regime Dataset,1655332,2026-04-15 15:25:28.867000,14,1,0.7647059
