artifact,path,present,status
board,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,True,sha256=867f3f3e846c1025ecbd363aee093c2b483dbb6fc66c7c86bb811795d2b90c20
042448_histgb_report,docs/experiments/actionable-regime-confidence/runs/20260512T042448-codex-source-label-histgb-confidence-screen-v1/source-label-histgb-confidence-screen-v1/source_label_histgb_confidence_screen_v1.md,True,source_label_histgb_confidence_screen_v1=histgb_confidence_scored_no_full_acceptance
042448_histgb_json,docs/experiments/actionable-regime-confidence/runs/20260512T042448-codex-source-label-histgb-confidence-screen-v1/source-label-histgb-confidence-screen-v1/source_label_histgb_confidence_screen_v1.json,True,accepted_labels=[]
042448_histgb_gates,docs/experiments/actionable-regime-confidence/runs/20260512T042448-codex-source-label-histgb-confidence-screen-v1/source-label-histgb-confidence-screen-v1/source_label_histgb_confidence_gates_v1.csv,True,Bear=False;Bull=False;Crisis=False;Sideways=False
042448_histgb_metrics,docs/experiments/actionable-regime-confidence/runs/20260512T042448-codex-source-label-histgb-confidence-screen-v1/source-label-histgb-confidence-screen-v1/source_label_histgb_confidence_metrics_v1.csv,True,heldout_market_zero_support_labels=Bear;Bull;Crisis;Sideways
042448_histgb_feature_importance,docs/experiments/actionable-regime-confidence/runs/20260512T042448-codex-source-label-histgb-confidence-screen-v1/source-label-histgb-confidence-screen-v1/source_label_histgb_confidence_feature_importance_v1.csv,True,diagnostic_only
042448_histgb_assertions,docs/experiments/actionable-regime-confidence/runs/20260512T042448-codex-source-label-histgb-confidence-screen-v1/checks/source_label_histgb_confidence_screen_v1_assertions.out,True,terminal_exit=0
043436_source_control_scan,docs/experiments/actionable-regime-confidence/runs/20260512T043436-codex-source-control-arrival-scan-after-043027-v1/source-control-arrival-scan-after-043027-v1/source_control_arrival_scan_after_043027_v1.json,True,source_control_arrival_scan_after_043027_v1=no_new_source_control_unlock_no_promotion
043436_source_control_assertions,docs/experiments/actionable-regime-confidence/runs/20260512T043436-codex-source-control-arrival-scan-after-043027-v1/checks/source_control_arrival_scan_after_043027_v1_assertions.out,True,new_source_unlock=false
042900_autoquant_threaded_runtime,docs/experiments/actionable-regime-confidence/runs/20260512T042900-codex-autoquant-threaded-resolver-run-settlement-after-042222-v1/checks/autoquant_threaded_resolver_run_settlement_after_042222_v1_assertions.out,True,successful_backtests=3
043027_previous_objective_audit,docs/experiments/actionable-regime-confidence/runs/20260512T043027-codex-current-objective-audit-after-042222-threaded-resolver-v1/checks/current_objective_audit_after_042222_threaded_resolver_v1_assertions.out,True,current_objective_audit_after_042222_threaded_resolver_v1=not_complete_source_roots_absent_source_confidence_failed_autoquant_runtime_succeeded_non_promoting_downstream_blocked
042857_downstream_readback,docs/experiments/actionable-regime-confidence/runs/20260512T042857-codex-current-objective-audit-after-042603-v1/checks/current_objective_audit_after_042603_v1_assertions.out,True,
