ts,open,high,low,close,volume,wap,count
2026-04-13T00:00:00+00:00,675.5,686.96,673.98,686.44,42695560.0,681.916,337885
2026-04-14T00:00:00+00:00,686.8,695.12,685.95,694.6,48811720.0,692.349,368743
2026-04-15T00:00:00+00:00,694.6,700.74,693.05,700.65,46257083.0,697.848,354993
2026-04-16T00:00:00+00:00,700.95,702.78,698.53,702.22,36841897.0,700.846,310058
2026-04-17T00:00:00+00:00,702.72,712.39,701.7,710.75,49962049.0,709.65,412181
2026-04-20T00:00:00+00:00,706.56,710.0,705.04,709.49,30853236.0,708.144,254335
2026-04-21T00:00:00+00:00,709.64,712.28,702.64,707.0,49459100.0,706.515,375914
2026-04-22T00:00:00+00:00,708.48,711.45,704.04,710.43,33110238.0,709.883,243555
2026-04-23T00:00:00+00:00,708.7,712.36,702.28,709.54,47195681.0,708.324,375275
2026-04-24T00:00:00+00:00,709.42,714.47,708.14,714.01,33428545.0,712.522,260813
2026-04-27T00:00:00+00:00,713.87,716.48,712.29,716.26,26600118.0,714.255,225340
2026-04-28T00:00:00+00:00,714.35,715.92,709.25,712.47,31623732.0,711.152,249870
2026-04-29T00:00:00+00:00,712.25,714.19,707.84,713.71,35059258.0,710.451,287399
2026-04-30T00:00:00+00:00,711.48,720.82,708.2,719.87,45085594.0,716.245,360122
2026-05-01T00:00:00+00:00,720.36,724.87,718.97,720.0,33618440.0,722.321,301794
2026-05-04T00:00:00+00:00,721.8,722.34,714.99,717.76,42010400.0,718.471,365904
2026-05-05T00:00:00+00:00,719.89,727.07,718.69,726.46,28392837.0,723.47,225284
2026-05-06T00:00:00+00:00,725.16,734.59,725.16,733.0,38641481.0,732.183,293849
2026-05-07T00:00:00+00:00,734.3,736.13,728.5,731.44,40586146.0,732.53,342369
2026-05-08T00:00:00+00:00,733.13,738.02,732.91,737.82,34652322.0,736.963,272538
2026-05-11T00:00:00+00:00,736.5,740.79,735.75,738.97,36999872.0,739.143,320218
