path,size_bytes,classification,decision
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.csv,8273022,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.json,159781,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.csv,3201374,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.json,55943,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.csv,4267811,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.json,56948,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.csv,3560949,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.json,54038,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.csv,30984640,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.json,1324648,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/stock-market-regimes-20002026/regime_analysis_by_ticker.csv,1278,historical_regime_context,not_r6_owner_export_controls
/Users/thrill3r/Downloads/ictscripts/ICT Institutional Order Flow,53182,indicator_or_script_context,not_verifier_native_owner_export
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.csv,8273022,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.json,159781,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.csv,3201374,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.json,55943,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.csv,4267811,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.json,56948,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.csv,3560949,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.json,54038,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.csv,30984640,tomac_symbology_context,not_order_lifecycle_rows
