check,status,evidence
provider_yfinance,ready,provider_status_agent.exit0
provider_kraken_cli,ready,provider_status_agent.exit0
provider_ibkr,not_ready,ibkr_gateway_reachable_dependency_unhealthy
provider_tradingview_mcp,not_ready,tradingview_mcp_connectivity_probe_failed
provider_kraken_public,not_ready,python3_provider_dependencies_missing
autoquant_board_a_runtime,data_ready,dependency_ready_data_ready
autoquant_board_b_combined,data_missing,dependency_ready_data_missing
r6_owner_export_root,absent,root_presence
r5_source_panel_recency_root,absent,root_presence
r3_native_subhour_root,present_quarantined_no_crisis,r3_settled_count_reuse
source_control_approval,absent,approval_ticket_scan
explicit_user_selected_history,absent,workflow_full_combined_and_selected_history_scan
pre_bayes,observe_only,pre_bayes_status_combined
workflow,blocked_user_selected_historical_data_missing,workflow_full_combined
execution_candidate,execution_blocked,workflow_execution_candidate_combined
path_ranker,candidate_set_only_history0_artifact0,workflow_full_combined
promotion_allowed,false,gate_result
update_goal,false,gate_result
