check,observed,disposition
r6_owner_export_root,absent,no_unlock
r5_recency_root,absent,no_unlock
r3_native_subhour_root,present,quarantined_tsie_non_promoting
source_label_equivalence_root,present,non_target_non_promoting
runtime_state_root,present,runtime_only_not_source_control
databento_cli,absent,no_owner_data_cli
dbn_cli,absent,no_owner_data_cli
databento_cme_cboe_cfe_env,absent,no_owner_data_env
broad_local_keyword_hits,12,known_tomac_symbology_and_unrelated_node_modules_only
valid_unlock_like_files,0,no_required_source_control_unlock
